Ri06_06_002|あはは……来ちゃったんだね、士道
K06_01_033|どういたしまして。　士道も喋ってばっかりいないで、ちゃんと食べなきゃ駄目よ？
K06_01_034|園長さんがいなくなって、動物園も困ってるでしょうね……
K06_01_035|不思議だね……ハーメルンの笛吹き男、みたいな感じなのかな？
K06_01_036|十香ちゃん、冗談だから落ち着いて……ね？
K06_01_037|はーい。十香ちゃん、よく食べるから作る方も嬉しいな
K06_01_038|ふふ……十香ちゃんってば、うまいんだから
K06_01_039|いや、そういうわけじゃ……ううん、それは置いといて。　……十香ちゃん、ご飯大盛にする？
K06_01_040|十香ちゃんッ！？
K06_01_041|本当に大丈夫？　手とか切ってない？
K06_01_042|何言ってるの。お茶碗より、十香ちゃんの身体の方が大事だよ？　怪我がなくて、本当に良かった……
K06_01_043|ご、ごめんなさい……私、そんなつもりじゃ……。　どうしよう……どうすればいいのかな？
K06_01_044|……やっぱり、士道は凄いなぁ……
K06_01_045|なんでもないよ。士道は士道なんだなぁって
K06_01_046|確かに四糸乃ちゃんの言う通り、　食べ過ぎでまた気分悪くなったら大変だよ
K06_01_047|明日は十香ちゃんの大好物、作ってあげるね。それでどうかな？
K06_01_048|さあなんでしょう？　だけど、頑張ってとびっきり美味しく作るから、楽しみにしてて
K06_01_049|うん、約束！
K06_01_050|そんなところで、みんな食べ終わったし、そろそろお片付け始め　ようかな？
K06_01_051|大丈夫。私にお任せ、だよ
RK06_00_012|もう、士道も十香ちゃんも、　私は好きでやってるから大丈夫なのに
RK06_00_013|うん、ありがとう。でも、十香ちゃんは無理しないでね？
RK06_00_014|ふふ……
K06_01_052|うん。いつもやってることだし、こうしてるの好きだし
K06_01_053|え！？　ええっ！？　も、もうそんな時間なのっ！？
K06_01_054|ご、ごめんね士道！　自分から言い出しておいて忍びないんだけど……　お片づけ任せちゃっていい？
K06_01_055|私は好きでやってるんだってば……でも、ありがとう
K06_01_056|十香ちゃん、無理したらダメだよ
K06_01_057|ふふ……それじゃ、いってくるね！
K06_01_058|うんっ！
RK06_00_015|あ、きたきた！
RK06_00_016|ほら、二人とも！　早く行かないと、間に合わないかもよ？
RK06_00_017|ん？　鍵……？　これ、何の鍵？
RK06_00_018|え……でも、私が持っててもいいの、かな？
RK06_00_019|あ……う、うん。そう、だね……そうだよね。　ありがとう、士道……大切にするからね
RK06_00_020|うん！
RK06_00_021|そうよ、十香ちゃん、今が日本で一番暑い季節なの
RK06_00_022|何か見つけたの？
RK06_00_023|えぇ！？　士道ったら急にどうしちゃったのよ！
RK06_00_024|ちょ、ちょっと二人とも！　置いていかないでってば！
RK06_00_025|もう、びっくりしたよ……。　十香ちゃんまで走って行っちゃうし……
RK06_00_026|え？　今度はな……あ、時間……
RK06_00_027|はーい、頑張るね
RK06_00_028|そうだね、良かった……でも、汗びっしょりになっちゃったね
RK06_00_029|こら士道、風邪引いたりしちゃ駄目だよ？　やっと体調戻って来たんだから
RK06_00_030|ふふ……十香ちゃんたら
K06_01_059|ど、どうしたの士道！？　汗びっしょりだよ？
K06_01_060|うーん、ギリギリ……
K06_01_061|――遅刻しちゃった……あはは……
K06_01_062|ち、違うよ十香ちゃん！　私は士道や十香ちゃんたちと一緒にいるのが好きなの。　遅れちゃったのは注意してなかった私の責任
K06_01_063|だから、気にしないで……ね？
K06_01_064|う～ん……。　自分では、わりと好き勝手やってるつもりなんだけどな
K06_01_065|本当に仲が良いよね、ふたりとも
K06_01_066|残念だけど、私もない……かな？
K06_01_067|でも、本当だったら、ちょっと悲しい話だね……
K06_01_068|なるほど……！？
K06_01_069|まあまあ……落ち着いて落ち着いて。　みんな行くなら、私も行こうかな……楽しそうだし
K06_01_070|十香ちゃんは何持ってくの？
K06_01_071|うーん……こういうとき、何を持っていくのが正解なんだろう？
K06_01_072|私もちょっとどうかと思っちゃったり……？
K06_01_073|あ、うん……私は――
K06_01_074|えっと……今日は、やめとこうかな。お弁当もあるし
K06_01_075|だけど……やっぱりやめとく
K06_01_076|えっ！？　あ、ううん！　そういうのじゃない……でも、ごめんね
K06_01_077|う、うん……いってらっしゃい
K06_01_078|士道、あんまり琴里ちゃんをいじめちゃ駄目だよ
K06_01_079|もう……大丈夫よ、琴里ちゃん。　私たちも一緒にいるから……ね？
K06_01_080|ね、ねえ士道……
K06_01_081|殿町くんを待ってる間に、みんなでどんなお供え物を　用意してきたか、見せ合うってどうかな？
K06_01_082|ふふ……そうかな、ありがと
K06_01_083|と、十香ちゃん、それはなに？
K06_01_084|わあ、おいしそう……今度、私も食べてみようかな？
K06_01_085|うん、連れてってくれると嬉しい
K06_01_086|えっと……結局何にも思いつかなかったんだ……
K06_01_087|でも、やっぱり食べ物の方がいいかなと思って……よいしょ
K06_01_088|う、うん……ちょっと早いけど、　甘くて美味しそうだったからつい……駄目だった？
K06_01_089|ふふ、なら良かった
K06_01_090|あー、それはそうかも。困っちゃうね
K06_01_091|そう……だよね。　ここを待ち合わせ場所に決めたの、殿町くんだし
K06_01_092|え？　ええっと……う、うん！　聞こえなかった……かな？
K06_01_093|でも、このまま帰っても気持ち悪いし、早くお供えして帰ろう？　ね？
K06_01_094|きゃっ！　だ、大丈夫、琴里ちゃん？　琴里ちゃん！？
K06_01_095|し、士道！　こっちに来て！　琴里ちゃんが――！
K06_01_096|た、たぶん、気を失ってるだけだと思うけど……
K06_01_097|そうだね、私も今日は帰った方がいいと思うな。　みんな疲れちゃってるし
K06_01_098|まぁまぁ、いいじゃない。あの二人を見てたら、　さっきのもどこかに吹っ飛んじゃうよ、きっと
Ri06_01_001|士道、もしかして呼んだ？
Ri06_01_002|うん、そうだけど……？
Ri06_01_003|な～んだ、デートのお誘いでもされるのかと思っちゃった
Ri06_01_004|え？　あ、えっと……なんとなく言ってみただけだったんだけど　……正解？
Ri06_01_005|ふふっ、意外と積極的なんだ。　でも、本当に私なんかでいいの？
Ri06_01_006|ふふ、取り下げるなら今のうちだよ？
Ri06_01_007|え！　ほ、本当に……わ、私……！？
Ri06_01_008|ええと……私なんかじゃなくて、他の誰かを誘った方が……
Ri06_01_009|……うん。あ、ほら。十香ちゃーん！
Ri06_01_010|士道がデートしようって
Ri06_01_011|さ、三人……？
Ri06_01_012|え！？　いや、私は……
Ri06_01_013|あ！　ちょ、ちょっと十香ちゃん――！？
Ri06_01_014|え？　あの……デ、デートって言ったら、　とりあえず映画なのかなあって？　ち、違った、かな？
Ri06_01_015|そ、そう、ならよかったあ
Ri06_01_016|あ、見てみて！
Ri06_01_017|十香ちゃん、こういうの好きそうじゃない？
Ri06_01_018|……？
Ri06_01_019|そ、そうなの！？　だったら、言ってくれればいいのに……
Ri06_01_020|私たちはここで待ってるから
Ri06_01_021|大丈夫なの？　何か大事な連絡だったんじゃない？
Ri06_01_022|え？　でも私、水着持ってないから……
Ri06_01_023|え？　あ、うん……じゃあ、行ってみようかな
Ri06_01_024|うん。士道が選んでくれたのが、一番良かったよ。　ありがとう
Ri06_01_025|うん！
Ri06_01_026|もう十香ちゃん！　あんまりはしゃぎすぎちゃダメだってば！
Ri06_01_027|え？　も、もう行くの？　でも……
Ri06_01_028|でも士道とのデートなんだから、士道を待っ――
Ri06_01_029|――え？　きゃあッ！
Ri06_01_030|きゃあぁぁぁあああーーーーーッ！！！！
Ri06_01_031|――ぷは……ッ！
Ri06_01_032|……び、びっくりしたぁ……
Ri06_01_033|だ、大丈夫だよー。思ったより早くてびっくりしたけど、　楽しかったから
Ri06_01_034|え……
Ri06_01_035|あ……！
Ri06_01_036|そうだね……そうかも
Ri06_01_037|ねぇ、士道……別にいいんだよ？　士道なら、見ても……
Ri06_01_038|……でも、そしたら士道は困っちゃうかな？
Ri06_01_039|今なら十香ちゃん見てないし……チャンス、かもよ？
Ri06_01_040|士道……私をちゃんと、見て――
Ri06_01_041|はーい。ふふ……びっくりした？
Ri06_01_042|もう、士道ったら意気地なしなんだから……ふふ
Ri06_01_043|士道、どう？　ちゃんと結べてる？
Ri06_01_044|士道、さっきの……
Ri06_01_045|……ううん、なんでもない
Ri06_01_046|何をしてるの、士道？
Ri06_01_047|今帰ってきたんだ。夕飯の買い物してきたの
Ri06_01_048|うちに何か用だったの？
Ri06_01_049|え、私と？　でも……私に構ってて本当にいいの？
Ri06_01_050|……そうだね。それで、話ってなにかな？
Ri06_01_051|もう、士道ってば……いっつもそうなんだから
Ri06_01_052|またあとでね、夕ご飯作りに行くから
Ri06_01_053|うん、楽しみにしててね
Ri06_01_055|う、うん。士道を探しに来たんだけど……変なところ、　歩いてきちゃったみたい。あはは……
Ri06_01_056|誰かの歩く音がして……そこを目指したら士道がいたの。　でも、会えてよかった……暗いから、ちょっと心細いし
Ri06_01_057|どうしたの？　顔色が悪いかも。大丈夫？
Ri06_01_058|そう？　ならいいけど……殿町くんは？
Ri06_01_059|じゃあ、お手伝いするね
Ri06_01_060|そしたら、何のために来たのかわからないじゃない
Ri06_01_061|うん
Ri06_01_062|うん、わかった
Ri06_01_063|ねえ、士道？
Ri06_01_064|今日のプール、楽しかったね
Ri06_01_065|十香ちゃんたら、大はしゃぎしちゃって……凄く可愛いかった
Ri06_01_066|ふふ、そうだね
Ri06_01_067|ううん……なんでもないよ、なんでも
Ri06_01_068|うん、私も行ってよかった。凄く楽しかったもの！　最初は私お邪魔かなあ……って思ったんだけど
Ri06_01_069|あ……！　ええっと……だ、だって、　十香ちゃんとちゃんと遊びに行くのは初めてだったし……　士道とも久しぶりだったし……
Ri06_01_070|…………
Ri06_01_071|……な、なに、士道？
Ri06_01_072|うん、そうだね……私も、行きたい。士道と……
Ri06_01_073|……あ、ううん！　また、士道たちと遊びたいな
Ri06_01_074|うん……どこ行っちゃったんだろう？
Ri06_01_075|そうだね、琴里ちゃんたちも心配してるかもしれないし……
Ri06_01_076|う、うん！
Ri06_01_077|ご、ごめんね、琴里ちゃん！
K06_02_001|……士……きて。……ねえ、起きて士道、朝だよ？
K06_02_002|おはよう、士道
K06_02_003|どうしたの？　ちょっと体調悪い？
K06_02_004|そ、そうだね。色々あったもんね
K06_02_005|……そういう割に、楽しそうな顔してるよ？
K06_02_006|ふふ……そうだね。でも、あんまり無理したらダメ。　今日の球技祭も見学にしておいた方がいいんじゃないかな？
K06_02_007|もう、士道ってば――って、あ！
K06_02_008|士道すぐ起きるかなーって思ってたから……　お鍋の火、つけっぱなしだった……あはは……
K06_02_009|そういうわけでごめんね士道。　ちょっと見てくるから、二度寝しないでちゃんと起きないと　ダメだよ！
K06_02_010|お鍋、なんとか無事だったよ。ちゃんと着替え――
K06_02_011|……
K06_02_012|きゃー！　……って叫んだ方がいいのかな？
K06_02_013|ご、ごめんなさい……
K06_02_014|とりあえずいい、士道？
K06_02_015|悪いと思うんだけど、　収まりつかなくなったら大変だし……ごめんね？
K06_02_016|ご、ごめんね……　そんなに強くはしなかったつもりだったんだけど……
K06_02_017|こーら、ダメよ琴里ちゃん。　士道はまだ本調子じゃないんだから……
K06_02_018|さ、みんな揃ったし、そろそろ朝ご飯にしましょう。ね？
K06_02_019|ふふっ、朝からちょっと重いかなあって思ったんだけど……　今日は約束通り十香ちゃんの好きなハンバーグにしたんだ
K06_02_020|ちょっと自信は無いんだけどね。　さあ、冷めないうちに召し上がれ
K06_02_021|ふふ、琴里ちゃん、四糸乃ちゃんも冷めないうちにどうぞ。　ちゃんとみんなの食べる量に合わせてあるから
K06_02_022|ふふ……みんな美味しそうに食べてくれるから、本当に嬉しいな
K06_02_023|ちょ、ちょっと士道……照れちゃうから　そういうこと言うのなし！
K06_02_024|――え？　ええと、学校だけど……？
K06_02_025|うん、転校してきた日に……ね。十香ちゃん？
K06_02_026|士道ってば、いきなり変なこと聞いて……どうかしたの？
K06_02_027|え……
K06_02_028|四糸乃ちゃん？　えっと……
K06_02_029|確か、四糸乃ちゃんが士道の隣のマンションに越してきたとき　……ほら、引越しの挨拶したときだよね？
K06_02_030|ううん、それより早くご飯食べて。遅くなっちゃうから
K06_02_031|よしよし。それじゃあ私はそろそろ出るから。　あとはよろしくね？
K06_02_032|……え～と、今日は朝練ちょっと早めに準備しなきゃいけなくて。　ごめんね
K06_02_033|はーい、いってきまーす
RK06_00_031|ううん、それより早くご飯食べて。遅くなっちゃうよ
RK06_00_032|もう、士道……もっとよく噛んで食べないと駄目だよ？
RK06_00_033|ふふふ……
RK06_00_034|そう、私は部活がラクロス部だし……。　本業だから、負けられないかも
RK06_00_035|ふふ、ベストは尽くしてみるね。　でも、一番大切なのは、スポーツを楽しむ気持ちだから
RK06_00_036|そうかな？　普通だと思うんだけど……
RK06_00_037|うん、ありがとう。二人とも。私、頑張るね！
K06_02_034|十香ちゃん、朝は体調悪そうじゃなかったよね？
K06_02_035|誤魔化さないの
K06_02_036|あ……それ、面白いかも
K06_02_037|ふふ、うまくまとまったんじゃない？
K06_02_038|十香ちゃんのためだよ、あきらめなさい
K06_02_039|ふふ……十香ちゃん、負けられないね？
RK06_00_038|え、え～と……私も頑張るね
K06_02_040|え！？　え～と……私も頑張るね。　競技も部活でやってるラクロスなんだし
K06_02_041|ふふ、ありがとう。とっても嬉しい
K06_02_042|あ！？
K06_02_043|――し、士道！？　はい、お茶！
K06_02_044|よく噛んで……みんなで味わいながら食べましょ？　ね？　食べ物を粗末にしたら、許さないから
K06_02_045|士道も気をつけなきゃダメだよ？
K06_02_046|もう、士道ってば……　じゃあ、気を取り直して仲良くご飯にしましょう
RK06_00_039|負けちゃったね……ごめんなさい
RK06_00_040|え……？　あ、えっとね……私がもっと頑張ってたら、　みんなもっと頑張れたかも……なんて
RK06_00_041|ありがとう、士道。そう言ってくれるだけで嬉しい
K06_02_047|あ……ごめんなさい。私、変な顔してた？
K06_02_048|ちょっと疲れちゃっただけだよ。だいじょうぶ、だいじょーぶ
K06_02_049|え？
K06_02_050|あ、うん……ありがと、士道
Ku06_02_001|それじゃあ、キッチン借りるね？
Ku06_02_002|ふふ、それは言わない約束でしょ？　お隣さんは助け合い、だからね
Ku06_02_003|ありがとう、士道。でも、今のところはないかな？
Ku06_02_004|……そう、かな？　そうだと、いいな……
Ku06_02_005|なんでもないよ。それじゃ、すぐ用意しちゃうね
Ku06_02_006|うん。お任せあれ
Ku06_02_007|今日のおかずは肉じゃがだよ
Ku06_02_008|えーと……懐かしい味、みたいな意味かな？
Ku06_02_009|あ、十香ちゃんおかわりは？
Ku06_02_010|ふふ、どういたしまして。　あんまり急いでこぼさないようにね
Ku06_02_001|それじゃあ、キッチン借りるね？
Ku06_02_002|ふふ、それは言わない約束でしょ？　お隣さんは助け合い、だからね
Ku06_02_003|ありがとう、士道。でも、今のところはないかな？
Ku06_02_004|……そう、かな？　そうだと、いいな……
Ku06_02_005|なんでもないよ。それじゃ、すぐ用意しちゃうね
Ku06_02_006|うん。お任せあれ
Ku06_02_007|今日のおかずは肉じゃがだよ
Ku06_02_008|えーと……懐かしい味、みたいな意味かな？
Ku06_02_009|あ、十香ちゃんおかわりは？
Ku06_02_010|ふふ、どういたしまして。　あんまり急いでこぼさないようにね
Ri06_02_001|そっち！　マークお願い！
Ri06_02_002|キャッ！
Ri06_02_003|こっち！　お願い！
Ri06_02_004|これでっ！
Ri06_02_005|せいやぁ――ッ！
Ri06_02_006|ふふ、やったね！　みんなのチームワークの勝利だよ！
Ri06_02_007|………………
Ri06_02_008|あ、士道……
Ri06_02_009|もしかして……デートのお誘い？
Ri06_02_010|……今日も？　でも、私なんかより他の子を誘った方が……
Ri06_02_011|あ、ほら。噂をすれば……鳶一さん！
Ri06_02_012|士道がね、デートのお相手を探してるみたいなの
Ri06_02_013|それじゃあ、二人でいってらっしゃい……
Ri06_02_014|はい？
Ri06_02_015|え？　で、でも……
Ri06_02_016|……し、士道にそう言われちゃうと弱いなぁ……わかった、　行けばいいんでしょ？
Ri06_02_017|え？　う、うん……
Ri06_02_018|それで……何するの？
Ri06_02_019|え……もしかして、何も考えてなかったの？
Ri06_02_020|……もう、士道ってば。悪い癖だよ？
Ri06_02_021|ここが鳶一さんのマンションなんだー。綺麗にしてるんだね
Ri06_02_022|一人暮らしって大変だもんね……
Ri06_02_023|……士道？　どうかしたの？
Ri06_02_024|う、うん
Ri06_02_025|ありがとう
Ri06_02_026|ちょっと、二人とも？　急にどうしちゃったの？
Ri06_02_027|せっかく鳶一さんがお茶淹れてくれたんだから、　飲みながらお話しましょ……ね？
Ri06_02_028|……士道？　大丈夫？
Ri06_02_029|士道……体調悪そうだし、顔赤いし……熱あるのかも
Ri06_02_030|ふふ……どうしちゃったって……。　おでこをくっつけて熱を測るなんて……、　昔はよくやってたでしょ？
Ri06_02_031|……ッ……忘れちゃった……？
Ri06_02_032|すぐ終わるから。ね？　いい子だから、目を閉じて……
Ri06_02_033|大丈夫、鳶一さんなら、しばらく戻ってこないから……
Ri06_02_034|だから、ほら……ね？
Ri06_02_035|……あ
Ri06_02_036|……ちょっと士道が体調悪そうだから、熱を測ってたの
Ri06_02_037|でも、よかった……熱はないみたい。　病み上がりなんだし、あんまり無理しないようにしないと
Ri06_02_038|……ごめん士道、私、用事思い出しちゃった。　悪いんだけど、先に帰ってもいいかな？
Ri06_02_039|鳶一さんもごめんね。せっかく、これからって時なのに
Ri06_02_040|ううん、そんなことないよ。　お茶、ごちそうさまでした。それじゃ、お先に失礼するね。　鳶一さんはまた明日学校でね。士道はまた後で！
Ri06_02_041|……
Ri06_02_042|あ……士道！？
Ri06_02_043|あ、うん……それはもう……大丈夫になったから
Ri06_02_044|う、うん……ちょっと考えごと……かな？　士道こそ、どうして？
Ri06_02_045|ふふ……なんだ、士道も考えごとなんだね。　それで、どんな考えごとなの？
Ri06_02_046|なあに、幼馴染の私にも、言えないことでもあるの？
Ri06_02_047|まったくもう、士道ってば食いしん坊さんだね。　本当にそんなこと考えてたの？
Ri06_02_048|ううん。ただちょっと、十香ちゃんみたいだなって思って。　一緒にいると、似てくる部分あるのかな？
Ri06_02_049|そういう士道も、好きだよ？
Ri06_02_050|な、何でもないよ！　何でもないの！
Ri06_02_051|あ、えっとね……わ、私も今日の夕飯のこと、かな？　きょ、今日は士道たちに何を作ってあげようかなって……
Ri06_02_052|いけない？　私は毎日悩んでるんだよ？　同じものばかりじゃ　飽きちゃうだろうなあとか、栄養バランスを考えないと……とか
Ri06_02_053|いいのいいの、好きでやってるんだから
Ri06_02_054|ふふ、買い物なら私一人で平気だから、　誰か他の人を遊びに連れてってあげて？
Ri06_02_055|いいからいいから。私、これから買い物に行ってくるね
Ri06_02_056|夕飯の時間には戻ってきてよ？　じゃぁねー！
Ri06_02_057|……
Ri06_02_058|どうして……？　どうして、うまくいかないの……？
Ri06_02_059|……今のままの状態が続けば、全部駄目になっちゃう……
Ri06_02_060|……諦めるわけには、いかない。ううん、できない
Ri06_02_061|――え？　し、士道！？　……も、もしかして、聞いてた？　今の……
Ri06_02_062|……あ……その、ね…………
Ri06_02_063|え？
Ri06_02_064|……な、なんの話？
Ri06_02_065|あー……うん、そうかな。そうだよ。うんうん
Ri06_02_066|そ、それより晩御飯出来てるよ。　みんな呼んで、一緒に食べよう？
To06_02_001|あ……
To06_02_002|う、うん……！　あ、そ、そんな事より、二人で何してるの？　ひょっとして……デート？
To06_02_003|そ、それは……その、ちょっと迷ってっていうか――
To06_02_004|――きゃっ！？
To06_02_005|……み、見えちゃった、かな？
To06_02_006|あ、士道！　シャツのボタンが取れかかってるよ？
To06_02_007|ちょっと、じっとしてて？
To06_02_008|はい、これで大丈夫
To06_02_009|ふふ、どういたしまして
To06_02_010|なるほどって、なにが？
To06_02_011|そういうの、あんまりよくないと思うけどな
To06_02_012|どうせ殿町くんが始めたんでしょ？　もう……いっつもそうなんだから
To06_02_013|でも……どういう基準で選ばれるの、それって？
To06_02_014|あはは……ちょっと照れるかも
To06_02_015|それで士道は……だ・れ・に、投票したの？
To06_02_016|……
To06_02_017|もう……士道ってば、そういうところ変わらないんだから
To06_02_018|それじゃあ、キッチン借りるね？
To06_02_019|ふふ、それは言わない約束でしょ？　お隣さんは助け合い、だからね
To06_02_020|ありがとう、士道。でも、今のところはないかな？
To06_02_021|……そう、かな？　そうだと、いいな……
To06_02_022|なんでもないよ。それじゃ、すぐ用意しちゃうね
To06_02_023|うん。お任せあれ
To06_02_024|今からちょうど作るところだよ
To06_02_025|んー……私は構わないけど、見ててもつまらないかもよ……？
To06_02_026|そ、そう？　じゃあ……うん、わかったよ
