003_01_00_005_24|だーかーらぁ～。　だーりんはこれから、私とデートするんですよ。デート
004_00_00_094_24|楽しみに待っていてくださいねー。　それでは、だーりん。またあとでー
005_00_00_039_24|だーりん……
005_00_00_049_24|だーりん、心配ですぅ
005_00_00_054_24|やっぱり、サイバー攻撃ってやつなんですかぁ？
005_00_00_062_24|私の〈[破軍歌姫*ガブリエル]〉のように、　特殊な能力を持った天使があるんですから……。　そういう能力の精霊がいても不思議はない、ってことですよね？
008_00_00_008_24|だーりんらしいですー。　でも、その子は可愛らしくても敵ですよぉ。　離れた方がいいと思いますぅ
008_00_00_048_24|だーりんは、どんなことがあっても、　私のファンでいてくれるって、そう言ってくれましたぁ。　それはずっと私のことを思ってくれているってことですよねー
008_00_00_050_24|……い、言われてみると、　なんか違う気もします……
008_00_00_068_24|ようするに、いつもと変わらないってことですよねー。　だーりんとの甘々な時間を過ごせるならオールオッケーですよー
011_03_24_001_24|あれぇ？　ここどこですかぁ？　なんでだーりんがいるんですかぁ？
011_03_24_002_24|うふふー。なんだかよくわかりませんけどぉ　素敵なことがあったような気がしますー
011_03_24_003_24|ええ、だーりん！　なんでわかるんですかぁ？　もしかして、私たちが運命の糸で結ばれてるから　わかっちゃうとかー？
011_03_24_004_24|私的には、本当にだーりんの許嫁でも　まぁったく問題ないですけどねー
011_03_24_005_24|あ、ではそろそろ私も帰りますねー。　だーりん、ばいばーい
013_05_00_014_24|この世界で使えるかどうか、わかりませんけどー、　私の〈[破軍歌姫*ガブリエル]〉、　あの子に試してみましょうかぁ？
013_05_24_001_24|だーりん、一緒に遊びましょー？
013_05_24_002_24|愛とは何か……ですかぁ
013_05_24_003_24|そうですかぁ？　私とだーりんはラブラブですしぃ、　二人の関係がそのまま愛だと思いますけどー？
013_05_24_004_24|そうですねー。だーりんは私が悩んでいることを　一緒に考えてくれて、行き詰まっている時に一緒に　新しい一歩を踏み出してくれましたー
013_05_24_005_24|これって愛ゆえですよねー
013_05_24_006_24|もしだーりんが部活か何かで行き詰まっていてー、　私がその部活の先輩だったら、やっぱり一緒に解決方法を　考えてあげますねー
013_05_24_007_24|いえいえー、だーりんのためですからー
013_05_92_047_24|だーりん。お片づけ手伝いましょうかぁ
013_05_92_048_24|ええー、残念ですー。　また許嫁気分を味わおうと思ったのにー
013_05_92_049_24|せっかくですからー、　まただーりんの許嫁になりたいですー
013_05_92_050_24|そうですかー。　じゃあ私、今度はウェディングドレスが着てみたいですー
013_05_92_051_24|ちゃんとわかってますよー。　でもどうせなら楽しい方がいいじゃないですかー
013_05_92_052_24|はいー、みんなを明るく元気にするのがアイドルですからー
013_06_24_001_24|はーい。私、だーりんの許嫁になりましたー
015_02_00_016_24|来ましたよー！　だーりん、これからずっと一緒ですねぇ！
015_02_00_017_24|転校生っていうかぁ、　交換生？　らしいですよぉ
015_02_00_018_24|違いますぅ。私の通う、竜胆寺女学院と、　この来禅高校で、生徒を交換するってことらしいですぅ。　でも、だーりんとは別のクラスなんですよー。ざーんねん！
015_02_00_019_24|細かいことはいいんですよもぅ！
015_02_00_024_24|えー？　私はだーりんと、同じクラスがよかったですー。　耶倶矢さん、夕弦さんと同じクラスなんですよぉ
015_02_00_025_24|そうみたいですぅ……だから楽しみにしてたのにー
015_02_00_072_24|だーりーん！　愛しの美九が、会いに来ましたよ～！
015_02_00_080_24|ふふー、だーりんは、子供に優しいだけですもんねー？　だって、大きいのが好きって言ってますしぃ
015_02_00_081_24|え～？　でもぉ、私のここぉ、　けっこう、えっちな目で見てますよねー？　だーりんってば……隠さなくてもいいのにー
015_02_00_085_24|私も、だーりんの学校生活、もっと見てみたいですねぇ。　やっぱり、だーりん、竜胆寺に転入しませんかー？
015_02_00_086_24|士織さんなら、問題ないですよー。　士織さんも、同じく私のだーりんですからぁ
015_02_00_119_24|はい、だーりん！　あ～んしてくださいねー、あ～ん
015_02_00_120_24|うまくいきましたー。　ほらほら、理想の新婚生活まであと一歩ですよぉ
015_02_00_122_24|いや～ん。だーりーん、　耶倶矢さんがこわいですぅ～
015_02_00_126_24|みなさん、そんなに争わなくても～。　ふふ、私の膝の上に、ひとり乗ってもいいんですよぉ？　四糸乃ちゃんとか、どうですかぁ？
015_02_00_129_24|あらぁ、残念ですー。　琴里ちゃんはどうですかー？
015_02_00_144_24|だーりんのためなら、　なんでもしてあげちゃいますよー
015_02_24_001_24|だーりん……今のって……
015_02_24_002_24|だーりん、私の水着姿……はじめて見ましたよねー？
015_02_24_003_24|うふふー。でも、そうですねー。　だーりんの水着姿も、たくましくて素敵でしたよー
015_02_24_004_24|だーりん、かわいいー。照れちゃってぇ
016_03_00_011_24|あれ？　お手伝いを呼ぶのは駄目なんですかー？　竜胆寺のお料理研の子に手伝ってもらおうかと、　思っていたんですけどぉ……
016_03_00_012_24|まあ、いいです♪　だーりんは、最後まで美九の　ファンでいてくれるって言ってくれましたし、　料理も、きっと喜んで食べてくれますー
016_03_00_013_24|私の、丹精込めて作ったお料理……。　だーりんに捧げちゃいますね……
016_03_00_056_24|私じゃないですよー。　だーりんの好みに合ってるってことは……、　琴里ちゃんですかぁ？
016_03_24_001_24|あん、だーりん。私が料理している姿を　見に来てくれたんですかぁ
016_03_24_002_24|あら、お手伝いしに来てくれたんですか？　嬉しいですぅ
016_03_24_003_24|カレーライスですよぉ。　男の子は絶対好きだと思ったんですー
016_03_24_004_24|やったぁ。だーりんに褒められちゃいましたぁ
016_03_24_005_24|それならだーりん、味見してみてください
016_03_24_006_24|どうしましたー？
016_03_24_007_24|はい、そうですよー
016_03_24_008_24|学校の子たちに電話して、いろいろアドバイスを　もらううちにこうなったんですー
016_03_24_009_24|大丈夫ですよー。色はちょっとエキゾチックでも　ちゃんとカレーの味がするはずですー
016_03_24_010_24|大丈夫ですって。　だって、においは普通のカレーのにおいじゃないですかー
016_03_24_011_24|さあ、だーりん。味見してみてください
016_03_24_012_24|どうですかー？
016_03_24_013_24|でしょー？　もうちょっとでできますから　だーりんは向こうで待っててくださいねー
016_03_90_029_24|なんでですか、だーりん。　最後は美九の愛情たっぷりカレーですよぉ
016_03_90_031_24|電話で聞いたみんなの意見を取り入れたら　何かそうなっちゃいましてー
016_03_90_032_24|大丈夫ですよー。私が食べさせてあげますから。　お口を開けてください、だーりん
019_02_92_054_24|あら、だーりん？　どうしたんですかー。　授業中ですよー？
019_02_92_055_24|授業に参加ですかぁ？　もう、だーりんってば、私に会いに来てくれたのかと思ったら、　あの子の話なんてぇ
019_02_92_056_24|仕方ありませんねぇ。　だーりんの頼みだから聞いちゃいますぅ。　……でもぉ
019_02_92_057_24|私自身は、別に勉強とか、　無理にしなくてもいいかなーって思いますけどねー
019_02_92_058_24|だってぇ、授業を聞いてノートを取るのって、　面倒臭いじゃないですかぁ
019_02_92_059_24|普段っていつのことですかぁ？
019_02_92_061_24|まぁ、アイドル活動もありますからぁ、　先生たちも大目に見てくれてますしー
019_02_92_062_24|えぇ！？　嫌ですよぉ！
019_02_92_063_24|もう、だーりんのいけずぅ……
019_02_92_065_24|ひ、ひぇぇぇ！？
019_02_92_066_24|うえーん、だーりんってばいじわるですー
019_02_92_067_24|仕方ないですねー。　ただし、だーりんが直々に勉強をみてくれるなら、　少しくらいは頑張りますよぉ
019_02_92_068_24|あとは、ごほうびのちゅーもお願いしますねぇ
019_02_92_069_24|もう、だーりんってば恥ずかしがり屋さんなんですからぁ
019_02_92_071_24|でもだーりん、そろそろ戻らなくていいんですか？　授業始まっちゃいますよ？
019_02_92_072_24|はーい、また来てくださいね。　だーりん
021_04_24_001_24|あら、だーりん。　お帰りなさーい
021_04_24_002_24|もう、だーりんってば失礼じゃないですかぁ？　だーりんのこと、待ってたんですよぉ
021_04_24_003_24|うふふ、もう気にしてませんから安心してくださいー。　それに、さっきはたっぷり、　だーりんの可愛いところ見られましたしー
021_04_24_004_24|ええー。だーりん、すっごく可愛かったのにー
021_04_24_005_24|ええー、そうですかぁ？　私はだーりんになら、どんな姿を見られても平気ですよー？　それに、あのくらいの衣装なら平気です。私、アイドルですしー
021_04_24_006_24|或守さんですかぁ？　見てませんよー。　今日はまだ、ここにも帰っていないみたいですしー
021_04_24_007_24|大丈夫ですよぉ。　それなら、私も一緒に行きますからー
021_04_24_008_24|あ、言われてみればそうですねー。　私はだーりんと一緒に学校に通っているみたいで　嬉しいですよー
021_04_24_009_24|はいー。なんですか、だーりん？
021_04_24_010_24|もう、だーりんってば。　私と一緒にいるのに、違う女の子の話ですかぁ？
021_04_24_011_24|うふふ、冗談ですよー。　そうですねー……愛とは何かってやつですよねー
021_04_24_012_24|ふふ。大丈夫だと思いますよー。　だって、私はだーりんと一緒でいっぱい愛を感じてますからぁ
021_04_24_013_24|そうですよぉ。もしかして、或守さんが、　だーりんに愛して欲しいだけだったり？
021_04_24_014_24|うふふ、どういたしましてぇ
021_04_24_015_24|だーりん、あれってもしかして。　或守さんじゃないですかー？
021_04_24_021_24|むぅー。　だーりんってば、或守さんにデレデレしてませんかー？
021_04_24_023_24|ふぅーん、じゃあドキドキしたんですかぁー？
021_04_24_024_24|やっぱりそうだったんですかぁ。　ふぅーん、へぇー
021_04_24_026_24|私は別にいいですけどぉー？　だーりんはもういいんですかー？
021_04_24_027_24|だーりんっ！
022_01_00_006_24|ちゃんと、作った或守さんを褒めてあげましょうねー。　すごいじゃないですかぁ
022_01_00_034_24|いいですねぇ～、だーりんっ、私も撫でてください！　たくさん、たくさん撫でていいんですよぉ
023_02_00_013_24|歌なら、私の独壇場ですよぉ
023_02_00_031_24|ふっふーん。　歌での勝負なら誰にも負けませんよぉ。　ねえ、だーりん、褒めてくださーい
023_02_00_107_24|あらぁ、だーりんってば。　わざわざ誘いに来てくれたんですかぁ？
023_02_00_108_24|うふふ。だーりんのお願いなら、　断ることはできないですねぇ
023_02_00_109_24|でもぉ、私からもひとつだけお願いがあるんですー。　聞いてくれますか？　私の、お願い？
023_02_00_110_24|わぁあ。やっぱり、[その格好*・・・・]もぉ、　とーっても似合いますね
023_02_00_111_24|素敵ですよ、士織さん！
023_02_00_112_24|えー？　お店の入り口に、『コスプレ衣装あります』って、　書いてあったので、借りてきたんです
023_02_00_113_24|駄目ですよお。　それに、折角私の歌を一緒に歌うんですから、　女の子同士でないとー
023_02_00_114_24|またまたー。とっても可愛かったですよ。　だーりん？
023_02_00_115_24|ふふ、残念ですー。　……それなら、私の歌はどうでした？　だーりんのために歌ったんですよ
023_02_00_116_24|ふふ、ありがとうございますー。　そう言ってもらえると、最高に幸せな気分ですよぉ
023_02_00_117_24|いいえ、大げさなんかじゃありませんよー。　だって、だーりんは……私の世界で一番大事な人なんですから
507_01_24_001_24|あ、降りてらしたんですかー
507_01_24_002_24|嫌ですよぉ、だーりん。　許嫁の顔を忘れたんですかぁ？
507_01_24_003_24|まー、無理もないですよねぇ。　私たち会うの初めてですしー
507_01_24_004_24|細かいことはいいんですよー。　私は誘宵美九と申します。　ふつつか者ですけど、よろしくお願いしますね、だーりん
507_01_24_005_24|私がだーりんを見間違えるはずないじゃないですかー。　だーりんは私のだ・ん・な・さ・ま。　子供の頃から決まっていたんですよー
507_01_24_008_24|うふふ、そんなことないですよぉ、琴里ちゃん。　だーりんはおもしろくて素敵な人ですぅ
507_01_24_011_24|はいっ♪　だーりんの未来のお嫁さんですぅー
507_01_24_015_24|私も初めて聞いた時はビックリしましたー。　普通ビックリしますよねー、いきなり許嫁だなんてぇ
507_01_24_016_24|でも私、だーりんの写真を見て　あー、この人が私の旦那さんになるんだぁって……　すぐに思ったんですー
507_01_24_017_24|それからずっと、私はだーりんのことばかり　考えて過ごしていました
507_01_24_018_24|だから、あの……　今日お会いできるの、すっごく楽しみにしていたんですよぉ
507_01_24_019_24|はい、あの……よろしくお願いしますね
507_01_24_021_24|私じゃ……気に入らないですか？
507_01_24_024_24|はい……私は、ずっとあなたを想って育ってきましたので。　今日も、どうしてもだーりんに会いたくって　無理にお願いしてお邪魔したんですー
507_01_24_025_24|そんな、気にしないでくださいー。　温度差なんて、これから埋めていけばいいんですから
507_01_24_031_24|お、お口に合うか、わかりませんけど……　だーりんに気に入ってもらえるよう、頑張ったんですよぉ
507_01_24_032_24|頑張ってお皿とか並べました
507_01_24_035_24|おいしいですー。　あ、だーりん。お醤油足りてますか？
507_01_24_036_24|ああん、だーりん。私のことは美九って呼んでくださいー
507_01_24_037_24|駄目ですー。だーりんは私のこと美九って呼ぶんです。　そう決まってるんですぅー！
507_01_24_038_24|はい、だーりん
507_01_24_039_24|趣味ですかー？　えーとぉ、歌うことですかねぇ。　一番好きなことですー
507_01_24_040_24|本当ですかーっ。きゃっ、嬉しいですぅ！
507_01_24_042_24|琴里ちゃん、ありがとうございますー
507_01_24_044_24|だーりん！　私、だーりんに気に入られるよう頑張りますー。　よろしくお願いしますねぇ
507_01_24_045_24|大丈夫ですよー。だーりんは素敵な人ですー。　私が嫌いになるはずないですから！
507_01_24_046_24|ごめんなさい、だーりん。　もう寝てましたか？
507_01_24_047_24|あ、あの……。　あのっ……私、だーりんと
507_01_24_048_24|そうじゃなくて、あの……お願いが、あるんです
507_01_24_049_24|はい、あ、あのっ……だーりんと
507_01_24_050_24|一緒に、寝させてください
507_01_24_051_24|は、はい……よかったです。　私……なんだか寝つけなくて
507_01_24_052_24|はい。お、お邪魔します
507_01_24_053_24|あの……だーりん
507_01_24_054_24|おやすみなさい
507_01_24_055_24|で、でも。私……ひとりじゃ寝つけなくて
507_01_24_056_24|それじゃ……だーりんが眠くないですか？
507_01_24_057_24|その……ごめんなさい
507_01_24_058_24|はい。ありがとうございますー。　だーりん、優しいですぅ……
507_02_24_022_24|いたいた、だーりん。待ってましたよー
507_02_24_023_24|そうですよ、だーりん
507_02_24_024_24|そうですけど、どうかしましたー？
507_02_24_025_24|え？　だってあなた、だーりんって名前でしょう？
507_02_24_026_24|ええー、そうなんですかー？　ずっとガガーリンとかスターリンみたいな　名前の人かと思ってましたー
507_02_24_027_24|そうなんですかー。　でも、だーりんで覚えちゃったんですよねー。　ほら、だーりんって響き、あなたにとっても合ってますよぉ
507_02_24_028_24|だからもう、今さら変えられないですー。　だーりんってアダ名ってことでいいですよね
507_02_24_029_24|ねぇ、だーりん。　それじゃぁ、さっそく本題に入りましょう
507_02_24_030_24|大会のことですよ、だーりん。　だーりんは、大会出場に必要な、最低限のタイムが　出ていないらしいじゃないですか
507_02_24_031_24|このままだと、うちの部ではだーりんただひとりだけ　大会に出場できないんですよ？
507_02_24_032_24|そうですよー。一緒に入った殿町くんは　男子のエースだっていうのに……
507_02_24_033_24|だから殿町くんは立派なエースなんです
507_02_24_034_24|嘘じゃないですー。彼のタイムなら　個人入賞も夢じゃない感じですよー
507_02_24_035_24|ですよねー。そう思うなら　きちんと練習しなきゃ駄目ですよー
507_02_24_036_24|エントリーまでは、まだ時間がありますから。　猛練習すれば大丈夫ですっ！
507_02_24_037_24|頑張りましょう、だーりん。　私も練習に付き合いますのでー
507_02_24_038_24|というか、これから大会まで私がつきっきりで指導しますよぉ。　覚悟してくださいねー
507_02_24_039_24|秘密特訓、ですよぉ
507_02_24_040_24|ええ、二人っきりでぇ！
507_02_24_041_24|ふふ、よかったですぅ。　じゃあ。さっそく準備運動として、腕立て１００回、　腹筋１００回、スクワット１００回。っと、それからー……
507_02_24_042_24|問答無用です。はい、始めてくださぁい！
507_02_24_043_24|うん。これで準備運動は終わりっ
507_02_24_044_24|何言ってるんですか、だーりん。　毎日このペースでやらないと、タイムは伸びませんよー。　さあ、それではプールに移動して練習しましょう
507_02_24_045_24|さあ、だーりん。着替えてきましたねー
507_02_24_046_24|どうしたんですか、だーりん？　早速始めていきますよー
507_02_24_047_24|うーん、そうですねー。　でもその前に、だーりんは何の種目で大会に出たいですか？
507_02_24_048_24|種目によって練習メニューに違いがあるかもですし　最初に決めておかないと
507_02_24_049_24|自由形――フリーですね。いいんじゃないでしょうか
507_02_24_050_24|だーりんの自己ベストを見る限り　一番望みがありそうなのはフリーですもんねー
507_02_24_051_24|それにフリーといえば　やっぱり競泳の花形って感じですもんね。　フリーが速い男の人って素敵ですー
507_02_24_052_24|ふふ。じゃあ、みっちり練習しましょうねー
507_02_24_053_24|じゃあ、軽くストレッチしてから　水に入りましょうかー
507_02_24_054_24|どうしました、だーりん
507_02_24_055_24|ちょっと、だーりんっ！？
507_02_24_056_24|あんまりじろじろ見ないでくださいっ！　何だか恥ずかしくなっちゃうじゃないですかぁ
507_02_24_057_24|んもうっ……駄目ですよー。　では、練習を始めましょー
507_02_24_058_24|だーりんはバックが好きなんですかぁ？
507_02_24_059_24|だーりん、なにか勘違いしてませんかー？
507_02_24_060_24|んもう、だーりんってばぁ。　背泳ぎのことをバックって言うんですからね。　英語でバックストロークって言うんですよぉ
507_02_24_061_24|本当ですかぁ、もう……
507_02_24_062_24|やだ……だーりんってば……
507_02_24_063_24|いいえ。　私と、同じ理由ですぅ……バックが好きな理由
507_02_24_064_24|はい。だから私もバックが一番得意なんですよー
507_02_24_065_24|でも、そうですね。だーりんがバックのこと好きなら　私もはりきって教えられますね
507_02_24_066_24|だめですよ。私が教える以上、絶対に出場タイムを　切ってもらいますからねー
507_02_24_067_24|さあ、いきますよー。　ついてきてください、だーりんっ
507_02_24_068_24|だーりん……そんなに真剣な瞳で……
507_02_24_069_24|でも、だーりん……ごめんなさい……
507_02_24_070_24|あのですねー、競泳にペア競技はないですしぃ……　男女ペアなんてもっとないと思いますよぉ
507_02_24_071_24|そういってくれるのは嬉しいですけど、　ふざけてないでちゃんとやりましょうねー
507_02_24_072_24|んもう。じゃあ出場するのは自由形にしましょう。　一応それが一番見込みのあるタイムですしー
507_02_24_073_24|頑張りましょうね、だーりん
507_03_24_001_24|はいはーい、こんにちはー
507_03_24_002_24|通りがかりの新人ナースでぇす
507_03_24_003_24|美九、って呼んでくださいね、だーりん
507_03_24_004_24|私ぃ、患者さんのことは、だーりんって呼ぶ宗派なんですー
507_03_24_005_24|だーりん、今日はどうしましたー？
507_03_24_006_24|大丈夫ですよー、怖くないですよー？　お熱測りましょうねー
507_03_24_007_24|……、……あら、ちょっとお熱があるみたいですねー。　３６度５分くらい
507_03_24_008_24|それにケガをしてるみたいですねぇ。　痛くないですかー？
507_03_24_009_24|はい、もちろん。　通りすがりですけどねぇ
507_03_24_010_24|はいはーい、慌てなくても大丈夫ですよー？　きちんと看護してあげますからねぇ
507_03_24_011_24|しちゃいますよー。超しちゃいますよー。　私は白衣の天使ですからー
507_03_24_012_24|そうですねぇ、まずはお食事ですよねー？　その腕じゃひとりでお食事もできませんしー？
507_03_24_013_24|ちょっと待っててくださいねー
507_03_24_014_24|はいはーい、お待たせだーりん。お食事の時間ですよー
507_03_24_015_24|いま、天使の美九さんが食べさせてあげますからねー
507_03_24_016_24|はい、だーりん。あーん、してぇ
507_03_24_017_24|もっと元気よくお口をあけましょうねー。　はい、あーん
507_03_24_018_24|お口に入れたら、よく噛み噛みしましょうねー
507_03_24_019_24|はい上手ですよー。もっとたくさん食べましょうねー
507_03_24_020_24|あら？
507_03_24_021_24|やだ、私ってば……お塩と間違えて豆板醤入れちゃいました。　……てへっ♪
507_03_24_022_24|ぶー、ごめんなさいー。　私、新人ナースなもので
507_03_24_023_24|はい、どうぞ。ホットしかありませんけど
507_03_24_024_24|はーい、お水のあとは再び、あーん
507_03_24_025_24|そうですかー。残念ですー
507_03_24_026_24|あのー、私、幻覚じゃないですよぉ？
507_03_24_027_24|はい、いますよぉ
507_03_24_028_24|私ですかぁ？　私はー、看護師でぇす
507_03_24_029_24|可哀想……その怪我が元で意識がはっきりしないんですねー。　でも私がしっかり看護してあげますから、安心ですよぉ？？
507_03_24_030_24|うふふ。ズボンを脱がせまーす
507_03_24_031_24|その格好じゃ、トイレに行けないでしょー？　だ・か・ら、ですよぉ？
507_03_24_032_24|はいはーい、恥ずかしがらなくていいんですよー
507_03_24_033_24|えいっ☆
507_03_24_034_24|はーい、動かないでー
507_03_24_035_24|さあ、どーんとやっちゃってくださいねー
507_03_24_036_24|んんー？　どうしましたー？
507_03_24_037_24|おかしいですねー？　全然出ませんねー？
507_03_24_039_24|おトイレはまた今度にしましょうかー
507_03_24_040_24|じゃあ、次はー
507_03_24_041_24|じゃーん、お注射の時間でーす
507_03_24_042_24|大丈夫ですよー、痛くないですからねー
507_03_24_043_24|ええ、もちろん。私はそのために来たんですからねー
507_03_24_044_24|そうですよー
507_03_24_045_24|……？
507_03_24_046_24|えー、私新人ナースなのでー
507_03_24_047_24|はーい、それじゃ腕をまくりましょうねー
507_03_24_048_24|まずは消毒しまーす
507_03_24_049_24|はいー？
507_03_24_050_24|あらあら。うふふ
507_03_24_051_24|大丈夫ですよー。天井のシミを数えている間に終わります
507_03_24_052_24|続いて注射をー
507_03_24_053_24|！　あら！
507_03_24_054_24|注射器落としちゃいましたー
507_03_24_055_24|どこへ行っちゃったのかしらー
507_03_24_056_24|お注射ちゃーん、出ておいでー
507_03_24_057_24|んー、いないですねー。どこへ行ったのかしらー？
507_03_24_058_24|んー、あれー？　あれー？
507_03_24_059_24|えー？　こっちですかー？
507_03_24_060_24|えー？　じゃあ、こっちー？
507_03_24_061_24|あった！　机の下にありましたー
507_03_24_062_24|ああん、でも手が届かないですー
507_03_24_063_24|ああん、だめぇ～。すっごい奥ぅ。そんなとこぉ……無理ぃ
507_03_24_064_24|はぁい？　なんでしょうー？
507_03_24_065_24|ええー？　あらあら？
507_03_24_066_24|この格好、もしかして、見えちゃってるかしら？
507_03_24_067_24|しかたないですねぇ
507_03_24_068_24|じゃあお注射の時間は終わりにしましょう
507_03_24_069_24|それじゃあ、次は何しますー？
507_03_24_070_24|だめでーす。つきっきりで看護しますよー？
507_03_24_071_24|うふふ。じゃあ次はおふろの時間にしましょうかー
507_04_24_001_24|どうしたんですかー、だーりん
507_04_24_002_24|ええ～？　変なだーりん……
507_04_24_003_24|だーりん、どうかしちゃったんですかぁ？
507_04_24_004_24|もう……せっかく二人っきりなんですから　しっかりしてくださいねー
507_04_24_005_24|じゃあ、さっきの話は、あれでいいですね？
507_04_24_006_24|ああん、もう。ひどい、だーりん。　放課後、一緒に帰りましょうって話ですよぉ。　だーりんの教室で待ち合わせですー。いいですよね？
507_04_24_007_24|はーい！　ちゃんと待っててくださいねー
507_04_24_008_24|私、次、移動教室だから、もう行きますね
507_04_24_009_24|はい、だーりん
507_04_24_010_24|さよならのチュー、してください
507_04_24_011_24|もー、だーりんいじわるですぅー！
507_04_24_012_24|仕方ありませんねー。じゃあ、また今度にしてあげますー
507_04_24_013_24|うふふ、約束ですよー。　それでは、いきますねー
507_04_24_034_24|だーりん、お待たせしましたー
507_04_24_035_24|だーりん、ごめんなさぁい。　遅れちゃいましたぁ
507_04_24_037_24|あら、こんにちはー
507_04_24_040_24|さようならー
507_04_24_041_24|ふふ、そうですねー
507_04_24_042_24|でも、だーりん。　その前にちょっとお話したいことがあるんですよぉ……
507_04_24_043_24|……わかりました。じゃあ、ここで……
507_04_24_044_24|ねえ……だーりん
507_04_24_045_24|あの女……誰なんです？
507_04_24_046_24|いいから……答えて。　あの女は誰なの、だーりん
507_04_24_047_24|とぼけないでくださいねぇ？　楽しそうにイチャイチャしていたさっきの女ですよぉ
507_04_24_048_24|そうですそうですぅ。　確かそんな名前でしたねぇ
507_04_24_049_24|そんな簡単にわかる嘘……だぁめですよぉ、だーりん。　あの女、だーりんに媚び売ってたじゃないですかぁ。　守ってくださいっていうオーラが出てましたもん
507_04_24_050_24|だーりんも凄く楽しそうだったじゃないですかぁ。　あの女に話しかけられてデレデレと……！
507_04_24_051_24|私のだーりんに他の女の息がかかるのは、　ぜーったい許されないことなんですよぉ？　だーりん、わかってますかぁ？
507_04_24_052_24|大げさ……？　じゃあだーりんはあの女がただの同級生だっていうんですねぇ？
507_04_24_053_24|……本当ですかぁ？
507_04_24_054_24|じゃあ……ハンカチ
507_04_24_055_24|ハンカチ……もらってましたよねー？　あれってどういうことなんですかぁ？
507_04_24_056_24|……じゃあ、貸してください
