Ri02_06_001|士道、私は？
Ori02_03_055|テスト勉強は短い時間で集中してやった方が効率的。　無意味に時間をかけるべきではない
Ori02_03_056|そういう癖をつければ、誰にでもできること
Ori02_03_057|士道、英語の『スクール』の語源を知っている？
Ori02_03_058|ギリシャ語の『スコレー』から来たと言われている。　意味は『[余暇*よか]』
Ori02_03_059|古代ギリシャの人々は、人口の二倍にあたる奴隷を保有していた。　だから、彼らは基本的な生産労働から解放されていた……
Ori02_03_060|つまり、時間的にとても余裕があった。その余暇の時間を使って、　自分を磨き、教養を高める活動に励んでいたということ
Ori02_03_061|もともとの意味から言えば、学校で学ぶという行為は、　そもそも社会に役に立つ、立たないという考え方も含め、　あらゆる功利目的から隔絶した、もっと自由な物だった
Ori02_03_062|そう。でも……学校で自分を磨き、教養を高めておけば、　いざ、なりたいものや夢ができたときに、それを実現する可能性　も高まっていると見るべき
Ori02_03_063|だから私は、今していることを少しも無駄とは思っていない
Ori02_03_064|……？
Ori02_03_065|……？　おかしいところがあった？
Ori02_03_066|そう。士道がそう言ってくれるなら、私も嬉しい
NoneAudio|……士道、そんなに見つめないで。照れる
Ori02_03_068|ん……
Ori02_03_069|……？
NoneAudio|……………………
Ori02_04_007|いけない。うっかり落としてしまった。　もう食べれない。残念。私のお昼がなくなった。大問題発生
Ori02_04_008|そうする。ありがとう、士道
Ori02_04_009|それはとんだ言いがかり。不憫な人。　心が捻じ曲がっていると、純粋な事故も捻じ曲がって見える
Ori02_04_010|朱に交われば赤くなる。士道、これ以上、夜刀神十香と関わると、　私たちまで不憫になる。一刻も早くここから離れるべき
Ori02_04_011|構わない。士道が望むなら
Ori02_04_012|気遣いは無用。士道から分けて貰うだけで問題ない
Ori02_04_013|士道がそう言うなら
Ori02_04_014|……
Ori02_04_015|……毒？
Ori02_04_016|……………………
Ori02_04_017|士道がそう言うなら
Ori02_04_001|……
Ori02_04_002|見た？　ノート
Ori02_04_003|……家でも勉強をしたの？　士道は頑張っている、偉い
Ori02_04_004|……？
Ori02_04_005|そう
Ori02_04_006|…………
Ori02_04_018|士道、ありがとう
Ori02_04_019|お弁当
Ori02_04_020|これ、軽く洗ってきた
Ori02_04_021|そう
Ori02_04_022|構わない。私にとってはご褒美
Ori02_04_023|気にしないで
Ori02_04_024|いけない？
Ori02_04_025|時間を有効に使いたいだけ
Ori02_04_026|休みは、士道の生態観測か天宮駐屯地でのトレーニングで埋まっ　ている
Ori02_04_027|趣味
Ori02_04_028|……あ
Ori02_04_029|……天宮駐屯地へ行ってきた
Ori02_04_030|連絡しても待たされるばかりで埒があかなかったから、こちらか　ら出向いた
Ori02_04_031|そう。叱責された
Ori02_04_032|問題ない。ただ……
Ori02_04_033|やはりＡＳＴに、大きな霊波を探知した形跡はなかった……
Ori02_04_034|やっぱり？　天宮駐屯地の観測機は世界水準で見ても、　遅れのないものを使用しているはず……。　士道はなぜそう思ったの？
Ori02_04_035|……では、なぜ士道は結界のことを知ることができたの？
Ori02_04_036|…………
Ori02_04_037|……？
Ori02_04_038|……！
Ori02_04_039|破れない？
Ori02_04_040|そう……
Ori02_04_041|……『敵』、なの？
Ori02_04_042|結界の中で精霊を暴走させることが『敵』の狙いだとしたら、　私はそれを許さない。必ず殲滅する
Ori02_04_043|士道……？
Ori02_04_044|私を追ってきてくれたの？
Ori02_04_045|そう。やはり私たちは、気が合う
Ori02_04_046|運命
Ori02_04_047|[彼*てき]を知り、己を知れば、百戦危うからず。『敵』がどんな方法を　使ってるのか、見当をつけるための資料
Ori02_04_048|構わない。士道の『敵』は、私の『敵』……
Ori02_04_049|ん……
Ori02_04_050|資料は一通り揃えた
Ori02_04_051|……？
Ori02_04_052|……士道？　どうしたの？
Ori02_04_053|ん……
Ori02_04_054|……
Ori02_04_055|…………
Ori02_04_056|士道……毒キノコを食べたなら、専門の治療医が必要。　すぐに診察を受けるべき。ここは、私が取り持つ
Ori02_04_057|心配しないで。私は士道がどうなっても、見捨てはしない
Ori02_04_058|……誤解？
Ori02_04_059|士道……悩み事があるなら、聞く。いつでも言って
Ori02_04_060|ん……
Ori02_04_061|……？
Ori02_04_062|…………士道？　意味がわからない
Ori02_04_063|そう
Ori02_04_064|……何故士道がそんな話をしたのかが不可解
Ori02_04_071|入って
Ori02_04_072|どうしたの？　アロマキャンドルは嫌い？
Ori02_04_073|士道は行きたいの？
Ori02_04_074|そう。なら今日はここで
Ori02_04_075|ここなら邪魔は入らない……
Ori02_04_076|何も
Ori02_04_077|……
Ori02_04_078|…………
Ori02_04_079|何が役に立つかわからない状況での情報収集は、間口を広く　すべき。もしも有益な情報があれば、その線で掘り下げる
Ori02_04_080|すべて
Ori02_04_081|ざっと目を通しただけ
Ori02_04_082|今の段階でも、いくつか仮説が立てられる
Ori02_04_083|『敵』の目的
Ori02_04_084|本来、結界というのは、聖なる場所を守るために張られるもの
Ori02_04_085|たとえば、古い山岳信仰などで見られる結界は、『聖地』と　される場所で修行に励む際、邪魔が入らないようにする　ためのもの
Ori02_04_086|その可能性がある、というだけ。正しいかどうかはわからない
Ori02_04_087|結界には、『場所』自体を守るだけでなく、　『人を守る』結界もあれば、『人を殺す』結界もある
Ori02_04_088|士道。答えを焦っては駄目
Ori02_04_089|仮説が出揃わないうちは、慌てて決断をくだすべきではない
Ori02_04_090|……自分を守るにせよ、誰かを守るにせよ、何者かが天宮市を　狙ってなければ、この仮説は成立しない
Ori02_04_091|この街に多数出現している精霊を閉じ込めようとして、　何者かが結界を張った可能性もある
Ori02_04_092|それも一つ。あとは……私たちの与り知らぬところで、　誰かと誰かが戦っていて、それに巻き込まれただけかもしれない
Ori02_04_093|天宮市にいる何者かが誰かに狙われ、自分を守るために　巨大な結界を張った。敵が入ってこれないように
Ori02_04_094|そう
Ori02_04_095|じゃあ、今日はもうこの話はやめにして。いいこと……する？
Ori02_04_096|……
Ori02_04_097|構わない。士道の『敵』は、私の『敵』
Ori02_04_098|なにが？
Ori02_04_099|問題ない。士道と２人きりで密室。　この状況だけで……十分楽しい……はぁ……はぁ……
Ori02_04_100|……士道。どうかしたの？
Ori02_04_101|……？
Ori02_04_102|士道……
Ori02_04_103|楽しいことには心当たりがある
Ori02_04_104|ベッドの中で――
Ori02_04_105|……
Ori02_04_106|本当に？
Ori02_04_107|それなら――
Ori02_04_108|ん……
Ori02_04_109|来て
Ori02_04_110|士道……じゃあ……洗うから
Ori02_04_111|……でも
Ori02_04_112|見えないから、触りながらでないと
Ori02_04_113|ここ？
Ori02_04_114|どうしたの？
Ori02_04_115|そう。見えていないから、ごめんなさい
Ori02_04_116|士道？
Ori02_04_117|ごめん。見えてないからぶつかった
Ori02_04_118|では……続ける
Ori02_04_119|この辺り？
Ori02_04_120|……手がすべった。　このボディシャンプーは、非常に泡立ちがいい
Ori02_04_121|ん……？
Ori02_04_122|そう。気を付ける
Ori02_04_123|士道？
Ori02_04_123_2|背中、見えない状態でこすると加減がわからないから、　ちょっと柔らかいものに変えて洗う
Ori02_04_124|大丈夫？
Ori02_04_125|なに？
Ori02_04_126|嫌い？
Ori02_04_127|そう。最新式の垢擦り。　肌を極限まで傷つけないように開発されたもの
Ori02_04_128|構わない。士道が気持ちよければ、私も気持ちいい……。　ただ、じっとしてないとうまく洗えないから。ちょっと我慢して
Ori02_04_129|じゃ、続ける
Ori02_04_130|士道？　どう？　気持ちいい？
Ori02_04_131|そう。じゃあ、もう少しサービス。じっとしてて
Ori02_04_132|あ……
Ori02_04_133|構わない。私は十分楽しめた
Ori02_04_134|問題ない。すでに片づけた
Ori02_04_135|……？
Ori02_04_136|士道と一緒のお風呂。ずっと夢だった
Ori02_04_137|……士道？
Ori02_04_138|今度は目隠しなしで
Ori02_04_139|士道、どうしたの？　顔が赤い。熱？
Ori02_04_140|……？
Ori02_04_145|士道、下がって――！
Ori02_04_146|――っくっ！　識別！　ＡＳＴ・鳶一折紙！　[基礎顕現装置*ベーシックリアライザ]起動承認！　ワイヤリングスーツ展開！
Ori02_04_147|こ、これは……まさか！？
Ori02_04_148|――士道、ここは危険。離れてて
Ori02_04_149|ここは恐らく――『敵』の[随意領域*テリトリー]のようなもの
Ori02_04_150|――！　……精霊！？
Ori02_04_151|来る……！
Ori02_04_152|――っ！？
Ori02_04_153|士道！　無事！？
Ori02_04_154|平気。でも、士道はもっと距離をとって！
Ori02_04_154_2|――落ち着いて。士道は私が必ず守る
Ori02_04_155|士道伏せて！　第二波がくる！
Ori02_04_156|[防性随意領域*プロテクト・テリトリー]最大出力で展開！
Ori02_04_157|……士道。あれは話してわかる相手ではないと思う
Ori02_04_158|このまま活動限界を待つわけにはいかない……！
Ori02_04_159|士道。ここを離れないで
Ori02_04_160|レイザーブレイド！　〈ノーペイン〉！
Ori02_04_161|――はぁッ！
Ori02_04_162|次はこちらの番
Ori02_05_049|――ふッ！
Ori02_04_164|ハァ……ハァ……ハァ……ハァ……
Ori02_04_165|……平気。問題ない
Ori02_04_166|私よりも、士道が無事で何より
Ori02_04_167|構わない。士道の命は最優先事項だから
Ori02_04_168|私たちがいたのは、おそらく『敵』が張った、[随意領域*テリトリー]に類する　空間の中……隔離されていたのかもしれない
Ori02_04_169|周辺を、別の結界空間にシフトさせた可能性がある
Ori02_04_170|わからない……
Ori02_04_171|ただ……
Ori02_04_172|先ほどの敵の攻撃は……警告だったのかもしれない
Ori02_04_173|『敵』の攻撃はすべて防いだけれど……その軌道や弾道は、　どれもわずかに、私たちに達するものではなかったように感じた
Ori02_04_174|意図的に外していたと見るべき――つまり警告か威嚇の類
Ori02_04_175|……タイミング的に考えれば、モニュメントに近づいたことが　きっかけだと思われる
Ori02_04_176|まだわからない。あの『敵』が何者なのかも
Ori02_04_177|ＡＳＴでも、あんな精霊の情報はない
Ori02_04_178|……確かに。でも、予断は禁物
Ori02_04_179|問題ない。目的の解明を最優先にすべき
Ori02_04_180|構わない。士道のためなら何でもする
To02_04_001|士道、夜刀神十香と一緒に登校してきたの？
To02_04_002|そう
To02_04_003|別に
To02_04_015|士道の作った料理……匂いを記憶しておかないと……
To02_04_016|……っ！
To02_04_017|……問題ない
K02_05_002|平気
K02_05_003|……？
K02_05_004|ありがとう
K02_05_005|考えごと？
K02_05_006|そう……ならいい
K02_05_007|あと五分十七秒……
K02_05_008|ん……
Ori02_05_001|士道？
Ori02_05_002|大丈夫？
Ori02_05_003|何を考えてたの？　私のこと？
Ori02_05_004|そう
Ori02_05_005|それだけ？
Ori02_05_006|それだけ？
Ori02_05_007|そう
Ori02_05_008|また、誘って
Ori02_05_009|了解
Ori02_05_010|きて。こっち
