Ri05_06_001|士道！　戻ってこれたの
Ri05_06_027|言われるまでもないわ
Ri05_06_028|残りは……
Ri05_06_029|勝手に行けばいいじゃない
Ri05_06_030|……せいぜい期待してるわ
Ri05_06_031|また敵が士道を狙ってこないとも限らないわ。　私たちは、皆が[要*かなめ]を破壊するまで士道を守る。いい？
Ri05_06_032|お礼なんていいのよ。そんなこと言ってる暇があったら、　〈ルーラー〉をどう説得するのか考えておきなさい
Ri05_06_033|まずいわね……。崩壊の範囲が広がってる……
Ri05_06_034|ええ、やっぱり来たわね。十香！　出番よ！　〈[灼爛殲鬼*カマエル]〉！
Ri05_06_035|十香！　もうちょっと頑張ってちょうだい！
Ri05_06_036|――どいて士道ッ！
Ri05_06_037|く――っ！
Ri05_06_038|……万が一を考えて、フル状態にはなりたくなかったけど……。　そうも言ってられないみたいね！
Ri05_06_039|いくわよ……【[砲*メギド]】！
Ri05_06_040|……上出来。ちゃんとみんな自分の仕事をしたみたいね
Ri05_06_041|そうね、十香の言う通り。こいつらはどんどん湧き続けてる……　私たちがここで食い止めるから、早く行きなさい！
Ri05_06_042|ふん、士道こそ死んだら承知しないわよ！
Ri05_06_043|悪いわね、十香。付き合わせちゃって
Ri05_06_044|ええ、早いところカタをつけて、士道に追いつくわよ！
Ri05_06_045|さあ、どこからでもかかってきなさい！
Ri05_06_046|本当、学習能力がないわね。　あれだけ無茶は駄目っていったでしょ？
Ri05_06_047|次が来るわよ狂三、油断しないで！
Ri05_06_048|うるさい。そんなことより、あなたは自分の仕事をちゃんと　しなさいよ。そういう約束、なんでしょう？
Ri05_06_049|士道！　なにぼさっとしてんのよ！　正直、もう私たちでもどこまで持つかはわからないわ！
Ri05_06_050|士道……あなたしかいないのよ！　この状況をなんとかできるの――ッ！
Ri05_06_051|あ、あ……し、ど……――
Ri05_06_052|……………………
K05_01_001|んー、おにーちゃん。朝からナンパしてるー。　凜祢おねーちゃん、困ってるよ？
K05_01_002|あはは！　おにーちゃんはおにーちゃんだからなー
K05_01_003|なに？　みょーなことって？
K05_01_004|えー、おにーちゃんなら余裕でしょー？
K05_01_005|凜祢おねーちゃんの作るお味噌汁おいしー！
K05_01_006|あ、おにーちゃん！　だし巻き卵いらないなら一個ちょーだい？
K05_01_007|おー、ありがとーおにーちゃん、愛してるぞー！
K05_01_008|おー？　私もあーんしたい！
K05_01_009|私もだぞー
K05_01_010|うー……う、宇宙人に連れ去られたとかじゃないよねー……？
K05_01_011|おぉ！　戦いの幕が開く……そのちのさだめ！
K05_01_012|んー！　だいじょーぶ？　詰まっちゃった？
K05_01_013|ん、よかったー。ね、おにーちゃん
K05_01_014|んー、凜祢おねーちゃん？　ほんとに大丈夫なのー？
K05_01_015|そうじゃなくてさ……。　もう出ないと、朝練間に合わないんじゃないの？
K05_01_016|もー、おにーちゃんてば、　凜祢おねーちゃんはラクロス部のレギュラーじゃん。　もしかして、またド忘れなのか？
K05_01_017|士道、ちょっと待ちなさい
K05_01_018|そんなことはどうでもいいの。　ちょっと話しておきたいことがあるのよ
K05_01_019|士道……あなたがするべきこと、わかってる？
K05_01_020|違うわよ
K05_01_021|さっきの十香の様子、見たでしょ？
K05_01_022|ここ数日落ち着いてはいたけど、かなり不安定な状態だわ。　十香だけじゃない……四糸乃や私も含めて、　霊力がいつ暴走してもおかしくない状態よ
K05_01_023|どうすればいいか……いくら士道でもわかるわよね？
K05_01_024|それ以外に方法はないわ。今、〈ラタトスク〉は機能不全に　陥っていて、精霊を完全に保護できる状態じゃないの。　空の孤島に成り下がっているのよ
K05_01_025|それはこっちで調査中。〈フラクシナス〉があれば、　やれることはまだあるわ。けど……精霊を安定させておくには、　あなたの協力が必要なのよ
K05_01_026|言ったでしょ？　精霊が最も安定するのは士道と一緒にいる時だって
K05_01_027|特に、デートしてる時は顕著――だから士道、あなたには、　どうしてもデートしてもらう必要があるの
K05_01_028|そんなことを言ってる場合？　今この瞬間も、十香や四糸乃の　霊力が暴走する可能性がある……そのことは本人たちも　わかってるはず。それを助けるのがあなたの仕事でしょ？
K05_01_029|ええ、その意気よ。頼んだわ。ただし――
K05_01_030|今回は十分に気をつけなさい。今のあなたは不死身じゃないわ。　何か間違いが起きれば――死ぬ。それを覚悟しなさい
K05_01_031|まぁ……士道自身のためにもなるしね
K05_01_032|精霊を安定させるということは、結果的に士道の身を暴走から　守ることになるわ。暴走の可能性を最小限に抑える　唯一の方法としては、これが最善よ
K05_01_033|でも――いい？　次にあなたの手に負えない状況になったら、　その時は……迷わずに逃げなさい
K05_01_034|……約束したでしょ？　もう無茶はしないって
K05_01_035|よろしい。さて、これ以上待たせると十香が不安がっちゃうわね。　行ってちょうだい
K05_01_036|誰に向かって言ってるのよ？　阿呆兄と違って自分の限界ぐらい把握してるから安心なさい
RK05_00_009|よろしい。じゃ、あとはこれを持っていって
RK05_00_010|十香にはもう渡してあるから、あとの一つは凜祢に渡してちょう　だい
RK05_00_011|家の鍵に決まってるじゃない。セキュリティ強化のために、　昨日のうちに鍵を取り替えたの
RK05_00_012|まったく鈍いわね。精霊とはいえ、女の子が集まって一つ屋根の　下で暮らすことになったのよ？　何かないとも限らないしね
RK05_00_013|――ま、家の中だけで言えば、無害なだけが取り柄の頼りない　青びょうたんが一匹いるだけだし……
RK05_00_014|他に誰がいるのよ
RK05_00_015|いいのよ。その方が失くし辛いでしょ
RK05_00_016|ぐだぐだ言ってんじゃないわよ。　〈ラタトスク〉で作らせた鍵だから、そんじょそこらのやつは　開錠はできないどころか、破壊もできないでしょうね
RK05_00_017|さ、これ以上待たせると十香が不安がっちゃうわね。　行ってちょうだい。　――さぁ、私たちの[戦争*デート]を始めましょう
K05_01_037|――さぁ、士道。私たちの[戦争*デート]を始めましょう
K05_01_038|そっちこそなにしてたのよ？　ずっと繋がらなかったじゃない
K05_01_039|どうせ、十香の機嫌でも損ねたんでしょ？　まったく、少しは成長しなさい
K05_01_040|へー。士道、あなた筋金入りの朴念仁よね。　コンテストがあったら世界相手でも優勝できるわよ？
K05_01_041|ま、士道が本物の女たらしだったら、逆にこうやって　封印を成功させるのは難しかっただろうけど……
K05_01_042|それはともかく……今朝、私が言ったことを覚えてる？　まさか忘れたなんて言わないでしょうね？
K05_01_043|そう。精霊を安定させて暴走の可能性を少しでも抑える。　それが今一番大事なことよ。　これはあなたのためでもあるんだから
K05_01_044|それじゃ、彼女達を探して、上手いことやりなさい。　ちゃんとエスコートするのよ。いい？
K05_01_045|うー……。お、おにーちゃん……もう帰るのだー
K05_01_046|こ、怖くないもんー！
K05_01_047|も、もー子供じゃないもん……うぇ……うぇ……！
K05_01_048|う、うん……がんばる
K05_01_049|……うー
K05_01_050|んー、おにーちゃんは？
K05_01_051|あそこのケーキ屋って、おいしーから若い子にも　人気あるんだよねー
K05_01_052|んー、と……
K05_01_053|私はとっておきのー、これだー！
K05_01_054|あははは、おにーちゃんの目は節穴だねー
K05_01_055|んー、ほらこれ、地域限定発売のだからー。　いつものと違うもん
K05_01_056|あー！　お供え用だからおにーちゃんにはあげないぞー！
K05_01_057|えー！？
K05_01_058|ぅ……ぅぅ……
K05_01_059|んー！　怖くないもんー！
K05_01_060|これは武者震いっていうのー！
K05_01_061|ほ、本当か！？　おにーちゃん！
K05_01_062|んー！　わかったぞー！
K05_01_063|おにーちゃん！　もうお供えに行くぞ－！
K05_01_064|ぅ……ぅぅ……
K05_01_065|おー、そうしよー！
K05_01_066|……お、おにーちゃん？
K05_01_067|ぅぅ……ぅうー……っ！
K05_01_068|ぅ……
K05_01_069|それはこっちで調べてる。　あなたが気にすることじゃないって言わなかった？
K05_01_070|ふん、こんな状況でいつまでも寝てられるわけないでしょ？
K05_01_071|貴重な時間を潰してまで付き合ってあげたっていうのに、　安定させなきゃいけない精霊を逆に暴走させそうになるって、　どういう了見なの？　馬鹿なの？　死にたいの？
K05_01_072|ま、まあ、付き合ってしまった私の落ち度でもあるけど……
K05_01_073|とにかく、士道は精霊を安定させることを第一に考えて　行動してちょうだい
K05_01_074|それじゃあ令音、私たちは帰るわ
Ko05_01_001|……あら、士道？　なあに？　令音の胸が恋しくなったの？
Ko05_01_002|なんだ、とはずいぶんね
Ko05_01_003|私はお邪魔だったかしら？　だったら出ていってあげるけど？
Ko05_01_004|……？　どういうことよ
Ko05_01_005|……え？　あ……ああ、携帯ね……そういえば、部屋に忘れてたわ
Ko05_01_006|……私だってするわよ。忘れ物くらい
Ko05_01_007|……で？　何の用なの士道？　妹にお小遣いでもせがみにきたの？
Ko05_01_008|違うなら、何の用があるっていうのよ？
Ko05_01_009|は……？
Ko05_01_010|あ……えっと……な、何よ急に
Ko05_01_011|……い、いや、それはそういう意味じゃなくって……
Ko05_01_012|……わ、私以外の精霊とデートしなさい、ってことよ！
Ko05_01_013|う……
Ko05_01_014|……だ、ダメよ、やっぱり！
Ko05_01_015|わ、私のことは気にしなくていいの！　気を使うなら、他の精霊に対してしなさい！
Ko05_01_016|それに、私は令音と現状についての対策を練らなくちゃ　ならないし……
Ko05_01_017|実際、士道とデートしてられるほど、暇じゃないのよ！
Ko05_01_018|い、いいの！　とにかく、士道は他の精霊とデートすること！　ほら、さっさと出ていきなさい！
Ko05_01_053|……何よ？　誰と話してるのよ？
Ko05_01_054|……通信機？　そう言えば、さっき顔を洗いに行った時にはずしたままだったわ
Ko05_01_055|ちょっと、目を覚ましにね
Ko05_01_056|……！！　な、何言ってんのよ！　非常時なんだから、気を抜くヒマがあるわけないでしょ！
Ko05_01_057|あー、うるさいっ！　私のことを気にする暇があったら、　あなたは他の精霊をちゃんと気にかけてあげなさいっ！！
Ko05_01_058|わ、私を口説いたって、意味ないでしょう！
Ko05_01_059|うるさいわね！　あなたに言われるようなことじゃないわ！
Ko05_01_060|〈ラタトスク〉のことは、あなたには関係ない。　知った風な口、きかないでもらいたいわね！
Ko05_01_019|ええ、ただいま……他のみんなは？
Ko05_01_020|ずいぶん早いのね。　………で？
Ko05_01_021|ちゃんとしたかって聞いてるの。　他の子と……その、デートを
Ko05_01_022|はぁ！？　じゃあ、一体何してたのよ、あなた
Ko05_01_023|…………こ、ここまでバカだとは思ってなかったわ……
Ko05_01_024|自分が何をしなくちゃいけないかわかってないやつに、　気を使う必要ってある？
Ko05_01_025|あなたが今やらなくちゃならないのは、精霊とデートして――
Ko05_01_026|な……っ
Ko05_01_027|……はぁ
Ko05_01_028|本当、シスコンよね、士道って
Ko05_01_029|……ま、もういいわ。　今更言っても、今日はもう誰ともデートできないんだし
Ko05_01_030|…………
Ko05_01_031|……で、なんでそんなに私をジロジロ見るの？
Ko05_01_032|うまいもまずいもないわよ！　食べなきゃ仕事もやってけないから食べてるだけ
Ko05_01_033|う、うるさいわね！　別に美味しくないとは言ってないじゃない！　……士道の料理は……味に慣れてるだけよ……
Ko05_01_034|でも、私は士道の作ってくれる料理は……好きよ
Ko05_01_035|あ、いや、そういうわけじゃ……
Ko05_01_036|何よ？　そんなに食べさせて、私を太らせる気？
Ko05_01_037|そ…………
Ko05_01_038|……ちょっと。　まだそんなに見て……落ち着かないでしょ？
Ko05_01_039|……そうかもね。最近はちょっと忙しいし
Ko05_01_040|ええ、全然駄目。ちっとも進まないわ
Ko05_01_041|……やっぱり、今回の事件は色々と不明な点が多過ぎるわね
Ko05_01_042|ええ……その間、精霊を暴走させないのがあなたの仕事。　責任重大なんだからね？
Ko05_01_043|……ところで、他のみんなは、夕食を早めに食べたの？
Ko05_01_044|……あ……も、もしかして……。　……し、士道が私と二人きりになるために……
Ko05_01_045|……え？　き、肝試し……？
Ko05_01_046|お、お断りよ！
Ko05_01_047|……なっ！　そ、そんなんじゃないわよ！
Ko05_01_048|私は、そういうの信じてないだけ！　苦手とか怖いとか、そんなんじゃ……
Ko05_01_049|いや、そ、それは……
Ko05_01_050|………わ、分かったわよ
Ko05_01_051|そ、その代わり、何か起こったらあなたのせいよ！？　責任持って私のこと守りなさいよね！？
Ko05_01_052|……わ、わかったわよ！
Ko05_01_062|そ、そんなことはどうでもいいのよ！
Ko05_01_063|わ、私のこと守るって言ったのに、一人で行っちゃうなんて……　一体どういうつもりよ！
Ko05_01_063_02|一人で行っちゃうなんて……一体どういうつもりよ！
Ko05_01_064|し、士道がいないと……だ、ダメよ……
Ko05_01_065|や、約束したんだからね！　ちゃんと責任とって、近くにいなさいよ！
Ko05_01_066|ほ、本当……？
Ko05_01_067|う、うん……
Ko05_01_068|……な、何よ？
Ko05_01_069|引っ張ってないわよ！
Ko05_01_070|引っ張ってない！
Ko05_01_071|きゃーっ！！
Ko05_01_072|い、い、い……今の……何……？
Ko05_01_073|ほ、ほ、ほ、本当に……？
Ko05_01_074|何よ！
Ko05_01_075|し、しがみついてなんかないっ！！
Ko05_01_076|い、いいから！　このまま、しばらく動かないでっ！！
Ko05_01_077|…………
Ko05_01_078|……な、何よ
Ko05_01_079|……！
Ko05_01_080|…………
Ko05_01_081|…………
Ko05_01_082|し、士道……
Ko05_01_083|う、うん……
Ko05_01_084|……！？
Ko05_01_085|…………
Ko05_01_086|…………
Ko05_01_087|…………
Ori05_01_027|あー！　おにーちゃん！
Ori05_01_028|うー……！　なんだとはなんだー！　やっと見つけたのにー……
Ori05_01_029|おにーちゃんが遅いから、みんなで探しに来ちゃったんだぞー！
Ori05_01_030|探しにいったおにーちゃんが道に迷ってどうするのだー！
Ori05_01_031|まー、無事におにーちゃんたちに逢えたからいいけどさー……
Ori05_01_032|んー……ところでさー、今二人でなにしてたのー？
Ori05_01_033|むー！　おにーちゃんさいてー！　やっぱり変なことしてたのかー！？
Ori05_01_034|お、おにーちゃん！　待つのだー！
Ori05_01_035|う、うん！
Ri05_01_016|……あ、やっと戻って来た！　おにーちゃん！　何やってたの！
Ri05_01_017|探しに行ったおにーちゃんたちが迷子になってどうするのだー
To05_01_001|あー！　おにーちゃん！
To05_01_002|うー……！　なんだとはなんだー！　やっと見つけたのにー……おにーちゃんが遅いから、　みんなで探しに来たんだぞー？
To05_01_003|探しにいったおにーちゃんが道に迷ってどうするのだー！
To05_01_004|まー、無事におにーちゃんたちに逢えたからいいけどさー……
To05_01_005|んー……ところでさー、今二人でなにしてたのー？
To05_01_006|へー……。まーいっかー
To05_01_007|じゃー、早くお供えして帰るのだー！
Yo05_01_011|……あ、やっと来たか！　おにーちゃん！　何やってたの！
Yo05_01_012|探しに行ったおにーちゃんたちが迷子になってどうするのだー
K05_02_001|おにーちゃん、面白そーなことあった？
K05_02_002|おにーちゃんは凜祢おねーちゃんに裸を見せたかったのかー？
K05_02_003|えー、いいでしょー！　あははー、おにーちゃんの変態紳士ー
K05_02_004|……っ…………えい！
K05_02_005|あははー、大丈夫だよー。だっておにーちゃんだもん
K05_02_006|はーい。ごめんなさい、凜祢おねーちゃん。　でも、おにーちゃんの顔、すごく面白かったぞー
K05_02_007|なんかテンションあがってきたっ！
K05_02_008|お－！　じゅーしーなうちに、いただくのだー！
K05_02_009|んー、どーしたの。おにーちゃん？
K05_02_010|おー、凜祢おねーちゃん、いってらっしゃいなのだー！
K05_02_011|りょーかい！　お残しは許しまへんでー！
RK05_00_018|りょーかい！　食べ残しは許しまへんでー！
Ko05_02_011|昼間っから息を荒くしてるなんて……まるでケダモノね
Ko05_02_012|あら、随分な反応ね？　このままあなたの痴態を放置してたら、　いつか警察沙汰になるに違いないと思って、言ってあげたのに
Ko05_02_013|何よ……悪い？
Ko05_02_014|……そ。ならいいわ
Ko05_02_015|……おしゃれくらいするわよ。　デートなんだから……
Ko05_02_016|……なんでもないわ
Ko05_02_017|それで？
Ko05_02_018|どこに連れてってくれるのよ？　デートなんでしょ？　エスコートしなさいよ
Ko05_02_019|なによ、ノープランなわけ？
Ko05_02_020|……期待してた訳じゃないけど、ガッカリだわ……
Ko05_02_021|それじゃ、行きましょ
Ko05_02_022|あなたが自分で言ったんじゃない。　仕方ないから一緒に行ってあげるわよ
Ko05_02_023|なに？
Ko05_02_024|……そう。　だったら、ここでデートは中止ね
Ko05_02_025|それじゃ、私はすぐに戻るわ。悪いわね
Ko05_02_053|あ、おにーちゃん。オッスなのだー！
Ko05_02_054|ちょっと令音に用があってねー。これから帰るとこー
Ko05_02_055|そうなのだー
Ko05_02_056|そんなにいつもいつも張り詰めていたら、　身体がまいっちゃうよー
Ko05_02_057|何か問題でもあるのか？
Ko05_02_058|…………
Ko05_02_059|前からちょっと、おにーちゃんに聞きたいと　思ってたんだけどさー……
Ko05_02_060|おにーちゃんは、今の私と司令室の私、どっちが好みなの？
Ko05_02_061|そうなの？　なんで？
Ko05_02_062|それはつまり、おにーちゃんはシスコンだっていうことかー？
Ko05_02_063|しかも、昔の私っていうことは、ロリコンでもあるってことー？
Ko05_02_064|わーいわーい、私のおにーちゃん、シスコンでロリコンだー！
Ko05_02_065|……それはつまり、おにーちゃんはハードな責めに　興奮するドＭの変態野郎ってことなのか？
Ko05_02_066|見損なったぞ、おにーちゃん！　これからは、付き合い方を考えるからなー！
Ko05_02_067|いやー、私のおにーちゃん、ドＭの変態だーっ！！
Ko05_02_068|んー、なんでー……？
Ko05_02_069|お、おにーちゃん……誰がそんないいことを言えと……？
Ko05_02_070|……む、むー。なんか改まってそう言われるとむず痒いぞー
Ko05_02_071|……ぬ、ぬわーっ！？　そ、それではまた会おうッ！！
Ko05_02_026|……ただいま
Ko05_02_027|……士道。一人でぼーっとしちゃって、何してるの？
Ko05_02_028|変なの……お風呂、沸いてる？
Ko05_02_029|それじゃあ、お風呂入ってくるわ。　長くなるかもしれないけど気にしないで
Ko05_02_030|……何？　もしかして、一緒に入りたいとか言うんじゃないでしょうね？
Ko05_02_031|ならなんなのよ？
Ko05_02_032|はぁ？　今から？　何時だと思ってんのよ！
Ko05_02_033|そ、それは……そうだけど……
Ko05_02_034|…………
Ko05_02_035|……分かったわ。行きましょ
Ko05_02_036|だから、今から行きましょうって言ってるの
Ko05_02_037|自分で誘ってきたんじゃない。　それとも何？　やっぱりやめる？
Ko05_02_038|じゃあ、さっさと支度しなさい
Ko05_02_039|そうね……
Ko05_02_040|仕方ないじゃない、精霊の危機に対処できるのは、　私たちだけなんだから……
Ko05_02_041|……大人？
Ko05_02_042|デートって……こんなの、ただの散歩でしょ？
Ko05_02_043|……な、何言ってるのよ！　子供じゃあるまいし！
Ko05_02_044|……別に……嫌じゃないけど……
Ko05_02_045|…………
Ko05_02_046|……バッカみたい
Ko05_02_047|……う、ん
Ko05_02_048|……なに？
Ko05_02_049|……わかってるわよ
Ko05_02_050|…………
Ko05_02_051|……ふーん。『なんだって』ねぇ。　いいこと聞いちゃったわ
Ko05_02_052|もう遅いわよ。聞いちゃったし。　頼りにしてるわよ、おにーちゃん？
Ko05_02_072|し……どう……？
Ko05_02_073|……な、何ボケーッと見てんのよ？
Ko05_02_074|こ、こ、こ……この、阿呆兄っ！！
Ko05_02_075|覚悟はいいわね？
Ko05_02_076|まったく、あなたはどうしようもないわね
Ko05_02_077|な・に・か、言ったかしら？
Ko05_02_078|まったくあなたは……
Ko05_02_079|ただでさえ状況がややこしくなってるんだから、　これ以上悩みの種を増やさないでよね！　あなたに続いて、令音もいつもより体調悪そうだし……
Ko05_02_080|え？　ああ……でも令音の体調不良はいつものことでしょう？　眠れないのも今に始まったことじゃないし……
Ko05_02_081|まあ、ここ最近の騒動でちょっと無理させちゃってるのは確かね
Ko05_02_082|話そらして逃れようって魂胆？
Ko05_02_084|全然よ。天宮市全体から霊力反応があるのは　観測出来ているけど……わかっているのは、そこまで
Ko05_02_085|こっちだってできればやってるわよ。でも、本部とも　連絡が取れないし、やっぱり〈フラクシナス〉単体では　正直やりようが……ね
Ko05_02_086|だけど、私たちは今、何か大きな現象の渦中にいる……　おそらくこの異変は、天宮市を中心に起こっているわ。　今確実に言えるのは、これだけね
Ko05_02_087|……そんな顔するんじゃないの
Ko05_02_088|士道の役目は、精霊とデートして精神を安定させることよ。　そんな顔した男とデートしたら、余計暗くなるでしょうが
Ko05_02_089|ええ、ちょっと心配になるくらいに、ね。　士道はなるべくいつも通りでいなさい。　じゃないと、精霊たちも安心できないわ
Ku05_02_002|士道、いるわね？
Ku05_02_003|そろそろお風呂入ろうと思ったんだけど、　シャンプーが切れてるみたいなのよ
Ku05_02_004|気がついてたのに、忘れてたわけね……全く
Ku05_02_005|謝っても何も変わらないわよ。　誠意を示す気があるなら、今すぐコンビニに行ってきなさい。　まさか、断ったりしないわよね？
Ku05_02_006|さっさとしないと、こっちにも考えがあるからね！
Ku05_02_007|ふん……
Ku05_02_008|し……どう……？
Ku05_02_009|……な、何ボケーッと見てんのよ？
Ku05_02_010|こ、こ、こ……この、阿呆兄っ！！
Ku05_02_011|覚悟はいいわね？
Ku05_02_012|まったく、あなたはどうしようもないわね
Ku05_02_013|な・に・か、言ったかしら？
Ku05_02_014|なに？　話を逸らす気？
Ku05_02_015|……狂三に！？　大丈夫？　何かされてないでしょうね！？
Ku05_02_016|……そう。それならいいわ。　狂三は精霊の中でも、かなり危険なんだから、注意しなさい。　まったく、厄介事がまた増えたわね……
Ku05_02_017|士道が狂三を封印できるなら、　この機会は逆に好都合と言えなくもないんだけど
Ku05_02_018|ま、そうよね。仕方ないわ
Ku05_02_019|全然よ。天宮市全体から霊力反応があるのは　観測出来ているけど……わかっているのは、そこまで
Ku05_02_020|こっちだってできればやってるわよ。でも、本部とも　連絡が取れないし、やっぱり〈フラクシナス〉単体では　正直やりようが……ね
Ku05_02_021|だけど、私たちは今、何か大きな現象の渦中にいる……　おそらくこの異変は、天宮市を中心に起こっているわ。　今確実に言えるのは、これだけね
Ku05_02_022|……そんな顔するんじゃないの
Ku05_02_023|士道の役目は、精霊とデートして精神を安定させることよ。　そんな顔した男とデートしたら、余計暗くなるでしょうが
Ku05_02_024|ええ、ちょっと心配になるくらいに、ね。　士道はなるべくいつも通りでいなさい。　じゃないと、精霊たちも安心できないわ
Ku05_02_001|おー！　いただきまーす！
Ori05_02_014|し……どう……？
Ori05_02_015|……な、何ボケーッと見てんのよ？
Ori05_02_016|こ、こ、こ……この、阿呆兄っ！！
Ori05_02_017|覚悟はいいわね？
Ori05_02_018|まったく、あなたはどうしようもないわね
Ori05_02_019|な・に・か、言ったかしら？
Ori05_02_020|なに？　話を逸らす気？
Ori05_02_021|……士道、口に羽でもついてるの？　あなたのその口の軽さには、開いた口が塞がらないわよ
Ori05_02_022|……ま、いいわ……そのお陰で、ＡＳＴの状況も　予測できそうだし
Ori05_02_023|全然よ。天宮市全体から霊力反応があるのは観測出来ているけど　……わかっているのは、そこまで
Ori05_02_024|こっちだってできればやってるわよ。　でも、本部とも連絡が取れないし、やっぱり〈フラクシナス〉　単体では正直やりようが……ね
Ori05_02_025|だけど私たちは、何か大きな現象の渦中にいる……おそらくこの　異変は、天宮市を中心に起こっているわ。今確実に言えるのは、　これだけね
Ori05_02_026|……そんな顔するんじゃないの
Ori05_02_027|士道の役目は、精霊とデートして精神を安定させることよ。　そんな顔した男とデートしたら、余計暗くなるでしょうが
Ori05_02_028|まあね。鳶一折紙は精霊ではないけど、間接的には重要よ。　引き続き、彼女もターゲットに入れておきなさい
Ori05_02_029|謎についてはこっちでなんとかするから、士道はいつも通りで　いること。じゃないと、ますますマズイ事になるわよ？
Ori05_02_030|もしまた……あの女から情報が入ったら報告して
Ku05_02_001|おー！　いただきまーす！
Ri05_02_001|入るわよ
Ri05_02_002|天宮市で観測された霊波のことだけど……。　恐ろしく強大な力を持ってるっていう話はしたわよね？
Ri05_02_003|ええ。どうやら、原因である『誰かさん』はその強大な力を　扱いきれてないみたいなの
Ri05_02_004|令音に毎日霊波を分析してもらってるんだけど……。　霊力の上下幅が大きすぎて、かなり不安定なの。　しかも、その揺らぎは、日を追うごとに大きくなってる……
Ri05_02_005|馬鹿ね、その逆よ
Ri05_02_006|相手が精霊だと仮定した場合、この不安定さは非常に危険だわ
Ri05_02_007|この力の強大さで、もし暴走なんてことになったら――
Ri05_02_008|……街、いえ、国一つ吹き飛んでもおかしくはないわね
Ri05_02_009|規模的に三十年前のユーラシア大空災まではいかなくても、　日本くらい簡単に消し飛ぶわよ。　……そうなる前に、なんとか解決策を見出すしかないわね
Ri05_02_010|そもそも……これほど強大で不安定な霊力の結界の中にいて、　私たち精霊が何の干渉も受けないでいられる状況そのものが　おかしいのかもしれない……
Ri05_02_011|極めて高密度で大質量の霊力が天宮市を覆ってるのよ？　別の例えをするなら、天宮市がブラックホール化したのと同じよ
Ri05_02_012|わからない？　ブラックホールというのは、自分の重力を支える　力の弱い物体が、自分の重力でどんどん収縮していって、　結果崩壊を起こしちゃったものなの
Ri05_02_013|それと同じことよ。もし強大な霊力を持った精霊が自分の霊力を　支えきれなければ……何かの歪みが生まれる可能性がある
Ri05_02_014|ええ。でもこれはあくまで推測にすぎない。　他の理由で、あえて不安定な結界を作っている可能性もあるし、　結局断定まではいかないわね……
Ri05_02_015|そうね。でも、あなたがすることはこっちじゃないって言ってる　でしょ？　〈ラタトスク〉は引き続き調査を続けるから、あなた　は精霊とデートして安定させることを優先してちょうだい
Ri05_02_016|わかってるならいいわ。せっかく謎が解けて解決策がわかっても、　十香たちが暴走したら本末転倒よ？
Ri05_02_017|それじゃ、おやすみ
To05_02_001|おー！　いただきまーす！
To05_02_002|ん？
To05_02_003|――ひぐ……っ！
To05_02_004|この……シスコンで……ロリコンで……！　ドスケベ阿呆兄がぁぁぁぁーーーーっ！！！！
To05_02_005|……へー、それくらいで反省し終えたつもり？
To05_02_006|……見ちゃいけないものを見たんだから、反省は当然よね？
To05_02_007|そんなことわかってるわよ。仮に士道がペドフィリアでド変態な　嗜好の持ち主だったとしても、そこまではしないわよね
