Ri01_06_001|心配したぞシドー！　大事はなかったか？
To01_02_026|ん、なにがだ？　私は全然平気だぞ？
K01_01_091|……？
Ri01_07_009|ん、そうだったか……？
Ri01_07_010|本当か！？
To01_06_057|そうか！　ではシドー、行くぞ！
To01_04_029|おーい！　シドー、早く！　こっちだ！
K01_01_001|シドー！　いつまで寝てるのだ！
K01_01_002|ぬっ！？　シドー！　もう起きてたのか……っ！？
K01_01_003|うぬぅ……
K01_01_004|シドーは『ドロップキック』で起こされると、　とても喜ぶと琴里から聞いてきたのだ！
K01_01_005|む、残念ながら一足遅かったようだ……
K01_01_006|ん？　なぜだ？
K01_01_007|ふむ、わかった。ならば次回からはそうしよう
K01_01_008|んー……
K01_01_009|……シドー、一つ教えてほしいことがあるのだが
K01_01_010|『ドロップキック』とは、どんなキックなのだ？　やはりドロップに関係があるのか？
K01_01_011|むう、実は少し悩んでいてだな
K01_01_012|うむ、自分でドロップを舐めながらキックをするのか、　相手の口にドロップを詰め込んでからキックをするのかが　今ひとつわからなくてな
K01_01_013|シドーが言い淀むとは……　まさか、もっと危険を伴う技だったのか！？
K01_01_014|ぬ……？　どういうことだ？
K01_01_015|は……っ、あ、まさか、ドロップに毒が！？
K01_01_016|ふむ……そうなのか？
K01_01_017|なるほど、確かにそれならシドーも起きそうだな！
K01_01_018|う、うむ……？
K01_01_019|早く来るのだぞ。[朝餉*あさげ]の準備は終わっているからな
K01_01_020|うむ！　早速いただくぞ！
K01_01_021|……うまい！　今日の[朝餉*あさげ]も絶品だ！
K01_01_022|むう！　このだし巻き卵……外はふっくらふわふわしてるのに、　食べてみると中からたっぷりのうまい汁が滲み出てくる！
K01_01_023|――ご飯と一緒に食べると……はむっ……うむ、　格別にうまいぞ！
K01_01_024|り、凜祢……それは、おかわりできないと言うことか？
K01_01_025|うむ！　おかわりの準備を頼む！
K01_01_026|うむ、料理も絶品だしな
K01_01_027|ん、シドーはどうしたのだ？
K01_01_028|うむ、そうか
K01_01_029|ぬ！？　凜祢、抜け駆けはずるいぞ！　私もシドーに食べさせる役をしたい！
K01_01_030|む……遅刻はよくないな。だが、今度は私もやるぞ！　約束だ！
K01_01_031|戦い！？　敵が来るのか、琴里！？
K01_01_032|ぬ……冗談、なのか？
K01_01_033|ふむ……わかったのだ！　凜祢、おかわりだ！
K01_01_034|凜祢の作る料理はうまいから、箸がどんどん進んでしまうのだ
K01_01_035|ん？　私は料理をしていないが……
K01_01_036|うむ！　よろしくた――ッ！？
K01_01_037|……だ、大丈夫だ……！
K01_01_038|あぁ、すまん琴里。心配かけたな、私は平気だ
K01_01_039|そ……それは大丈夫なのだが……
K01_01_040|すまんシドー……茶碗を割ってしまった！
K01_01_041|だ、だが凜祢！　これは……これはシドーが私に買ってくれたものなのだ！　大事にすると約束したのに……
K01_01_042|ほ、本当か？
K01_01_043|うむ、さっきも言ったが、全然平気だ
K01_01_044|よし、気を取り直して……凜祢、おかわりだ！
K01_01_045|ん、無理などしていないぞ？
K01_01_046|ぬぬぬぬぬう……！
K01_01_047|本当か！？　何を作ってくれるのだ！？
K01_01_048|おぉ！　凜祢、約束だぞ！？
K01_01_049|そうか！　ならば、今日は我慢するのだ！
K01_01_050|う、うむ！
RK01_00_002|わ、私も手伝うぞ！
RK01_00_003|うむ、心配いらないのだ！　安心して任せるがいい
K01_01_051|うむ、安心するがいい！
RK01_00_004|シドー！　早くするのだー！　凜祢はもう外で待ってるぞ！
K01_01_052|シドー！　早く行くぞー！
K01_01_053|シドー、まだかー？
K01_01_054|む……わかった。遅れないようにするのだぞ？
K01_01_055|む！　遅かったではないかシドー！
K01_01_056|シドー……琴里と何を話していたのだ？
K01_01_057|む、気になるな……
K01_01_058|本当か？　私をたばかってはおらんだろうな？
K01_01_059|うむ！　シドーが言うなら信じるぞ！
RK01_00_005|む、わかっている！　私だって大事にするのだ！
RK01_00_006|うむ！
RK01_00_007|し、シドー……なんだか、暑くなってきたぞ！
RK01_00_008|ん、ニッポンのナツ？
RK01_00_009|むう……もっと暑くなるのか？　それはなかなか厳しいな……
K01_01_060|し、シドー……なんだか、暑くなってきたぞ！
K01_01_061|ん、ニッポンのナツ？
K01_01_062|むう……もっと暑くなるのか？　それはなかなか厳しいな……
RK01_00_010|ぬ！？　どこへ行くのだー！　シドーッ！
K01_01_063|ん、どうしたのだシドー？
K01_01_064|ぬ！？　どこへ行くのだー！　シドーッ！
K01_01_065|おーい！　シドー！
K01_01_066|何があったのだシドー！？
K01_01_067|ん？　大丈夫かシドー？
K01_01_068|おお、そうであったか。それで、どうだったのだ？
K01_01_069|ん？　追いかけたのだろう？　その猫とは会えたのか？
K01_01_070|猫違い？　ふむ、残念だったな……
K01_01_071|しかし、いつか戻ってくることがあるかもしれないのだ。　あまり気を落とすでないぞ、シドー
RK01_00_011|お、そうであった！
RK01_00_012|すまぬ凜祢……
RK01_00_013|ぬ！？　ど、どうしたのだ！
RK01_00_014|ぬうっ！？
K01_01_072|ぬ！？　ど、どうしたのだ！
K01_01_073|ぬうっ！　そうであった！　行くぞシドー！
RK01_00_015|シドー！　思ったより早く着いたぞ！
RK01_00_016|ん？　シドーはまた具合が悪くなったのか？
RK01_00_017|そうか、ならいいのだ！　もし具合が悪くなったら、すぐに言うのだぞ？
K01_01_074|シドー！　思ったより早く着いたぞ！
K01_01_075|う……すまん……私のせいだな
K01_01_076|う、うむ……いつも世話になってすまぬな
K01_01_077|ドロップ！？
K01_01_078|ん？　シドーは……殿町と何かいかがわしい関係だったのか！？
K01_01_079|う、うむ……そうか
K01_01_080|……
K01_01_081|むう……。　誰か、そのテングウシを退治できる者はいなかったのか？
K01_01_082|ぬう……
K01_01_083|……！
K01_01_084|い、イショ？　何だそれは？
K01_01_085|ぬ……では、サムライは死んでしまうのか？
K01_01_086|そうだったのか……。なんだかわかるぞ、その気持ち
K01_01_087|おお！　それはあれだ、とても良い申し出だな！
K01_01_088|っ！？
K01_01_089|う……う……う、うううううううーーーッ！
K01_01_090|う、うぐ……よ、良い話ではないか……
K01_01_091|……？
K01_01_092|む？　サムライは何をしていたのだ？
K01_01_093|……
K01_01_094|……な、なんて惨いことをするのだ！
K01_01_095|……
K01_01_096|なるほど……！？
K01_01_097|よくぞ言ったシドーッ！
K01_01_098|『[天狗牛*てんぐうし]』もさぞかし無念であったろう……っ！
K01_01_099|うむ！　みんなで、『[天狗牛*てんぐうし]』を鎮めてやろうではないか！
K01_01_100|ぬっ。貴様、どこから沸いて出た
K01_01_101|シドー、ところでオソナエモノとは何なのだ？
K01_01_102|ん、なるほど……
K01_01_103|むう、まだ思いつかんぞ。凜祢はどうするのだ？
K01_01_104|シドー！　[昼餉*ひるげ]の時間だ！
K01_01_105|ぬ！　鳶一折紙、先に誘ったのは私の方だぞ！
K01_01_106|ぐっぬぬぬぬ……！　し、シドーの世話なら私一人で十分だ！　あ、汗だって拭いてあげたのだぞ！
K01_01_107|ふふ……私はな、シドーの体を隅々まで綺麗にしてあげたのだ！
K01_01_108|む……な、なにが限界だというのだ！？
K01_01_109|案ずるなシドー。シドーの席は私が取ってくるぞ！
K01_01_110|シドー！　席が埋まってしまうぞ！
K01_01_111|なあシドー、その『ケッコン』というのは何だ？
K01_01_112|ぬ！？
K01_01_113|ずっと一緒……約束……
K01_01_114|あ、いやなんでもない。ちょっとな……
K01_01_115|シドー！　ニンジンだ！
K01_01_116|べ、別にどうもしてない！　とにかく、シドーは野菜を食べるのだ！
K01_01_117|キュウリも食べるのだ！　シドー！
K01_01_118|シドー、しっかりしろ！　どうしたのだ、シドー！？
K01_01_119|と、鳶一折紙ッ！　貴様、一体何をしている！　すぐにシドーから離れろ！
K01_01_120|――ッ！
K01_01_121|し、シドー……わ、私も怖い！
K01_01_122|し、シドー、わ、私の方が、たくさん怖い、のだ
K01_01_123|鳶一折紙には負けるわけにはいかん！
K01_01_124|す、すまんシドー……熱くなって忘れていた……
K01_01_125|うむ！　それは実に名案だぞ凜祢！
K01_01_126|うむ！　私が選んだのはこれだ！
K01_01_127|商店街で買ったケバブサンドだ！　冷えてもお肉がジューシーでたまらんぞ！？
K01_01_128|ん、凜祢も必ず気に入ると思うぞ！　店の場所なら、　肉と香辛料の香りでなんとなく覚えているからな！
K01_01_129|うむ！
K01_01_130|ほう！
K01_01_131|ん、シドー！　それは実に美味そうなケーキではないか！
K01_01_132|ぬう、そうか。ならば私も、いずれ食べてみねばな！
K01_01_133|シドー、殿町はどうしたのだ？
K01_01_134|ん、そうなのか
K01_01_135|うむ、少し小腹も空いてきたしな。　ところで鳶一折紙、一人でどこへ行くのだ
K01_01_136|な、なんだと！？　く、負けてはおれん！
K01_01_137|ん、今、何か聞こえなかったか？
K01_01_138|おお！　これがテングウシなのか！？　凄い迫力だなっ！
K01_01_139|鳶一折紙、貴様何をしている！？
K01_01_140|ぬぅ……私も怖いぞ、シドー！
K01_01_141|……テングウシが…………！？
K01_01_142|し、シドー！？　どこに行くのだ！？
K01_01_143|ん？　シドー！　テングウシはどこにいったのだ！？
K01_01_144|うむ、そうだな。帰ったら少しだけ食べ物を……
K01_01_145|な、なに！？　シドー、本当か？　我慢したら褒めてくれるのか？
K01_01_146|な、どういうことだ！？
Ko01_01_001|シドー、こちらは準備万端だ！　そろそろ出かけよう！
Ko01_01_003|おお、シドー！　遅いからこちらから来てしまったぞ！
Ko01_01_004|む、なんだ。琴里もここにいたのか。　姿が見えなくなって、皆で心配したのだぞ
Ko01_01_005|そうか、よかったな見つかって。　それじゃあ、先に行こうか！
Ri01_01_001|ん？　どうしたのだ？
Ri01_01_002|おお！　そうなのか、シドー？
Ri01_01_003|……シドー、もしや私とデェトはしたくないのか？　もしかして……[昼餉*ひるげ]のことを怒っているのか……？
Ri01_01_004|すまん、シドー。無事でよかった……ずっと保健室に居たら　追い出されてしまって、シドーがどうなったのか心配して　いたのだ
Ri01_01_005|うむ！　では決まりだな！
Ri01_01_006|なら早速デェトするぞ！　三人で！
Ri01_01_007|うむ。凜祢も一緒に行くのだろう？
Ri01_01_008|さ、行くぞ！
Ri01_01_009|おーい！　何をしているのだシドー！
Ri01_01_010|……ん、凜祢は映画が観たかったのか？
Ri01_01_011|むう……これはあまり見たくないな
Ri01_01_012|む。この映画は前に観たことがある
Ri01_01_013|何を言ってるのだ、シドー。一緒に観たではないか
Ri01_01_014|む！　シドー、私と行った日を忘れたのか？
Ri01_01_015|思い出してみるがいい。あれは……
Ri01_01_016|むう、い、いつ、だっただろうか……？
Ri01_01_017|む！　わ、私は確かに見たのだ！　シドーと一緒に！
Ri01_01_018|うむ！
Ri01_01_019|うむ。早く戻るのだぞ？
Ri01_01_020|む！　遅いぞシドー！
Ri01_01_021|おお！　プールか！　あれは実に楽しいな！
Ri01_01_022|む？　水着なら持っているぞ？　シドーに選んでもらったものがあるではないか？
Ri01_01_023|りふぉーむ？
Ri01_01_024|おお！　そうであった！
Ri01_01_025|うむ！
Ri01_01_026|シドー！　早く、プールに行くのだ！
Ri01_01_027|おーい！　凜祢ー！　こちらだぞー！　早くするのだー！
Ri01_01_028|凜祢！　ここからあの湖まで滑っていくのだ！
Ri01_01_029|どうした、滑らぬのか？　これはあれだ、実に面白いぞ？　一度味わったら病み付きになる！
Ri01_01_030|おーい！　凜祢ー！　どうだったのだー！？　次は私が行くぞー！
Ri01_01_031|あははははっ！
Ri01_01_032|――っぷはぁ！　あはは！　シドー！　やはり面白いぞこれは！
To01_01_001|シドー……
To01_01_002|……む。昼のことを謝らねばならんと思ってな
To01_01_003|す、すまないシドー……私が頑張り過ぎたのだ……
To01_01_004|しかし、シドーが無事でよかったぞ！
To01_01_005|ずっと保健室に居たら追い出されてしまって、　シドーがどうなったのか心配していたのだ
To01_01_006|うむ！　では、帰ろう！
To01_01_007|ん、なんだ？
To01_01_008|ん……寄り道？
To01_01_009|う、うむ！　いいと思うぞ！　賛成だ！
To01_01_010|シドーとデェトか！　うむ！　デェトデェト！
To01_01_011|シドー！　何をしているのだ？　早くデェトに行くのだ！
To01_01_012|ぬ、なぜだ？
To01_01_013|嬉しいに決まっているではないか！　シドーとデェトができるのだぞ！
To01_01_014|ぬ！　呪いをかけてくる敵がいるのか！？　それはやっかいだな……
To01_01_015|ぬ？　これは……？　シドー！　こっちだ！
To01_01_016|いいから来るのだ、シドー！
To01_01_017|うむ！
To01_01_018|香りだ！
To01_01_019|良い香りがあちらからもこちらからも……ここは天国だな！
To01_01_020|おお！　よいのかシドー！？
To01_01_021|ぬ？　なにか言ったか？
To01_01_022|――む、しかしシドー。私は[金子*きんす]をあまり……
To01_01_023|ほ、本当によいのか？
To01_01_024|むう……そういうものなのか。わかった！　ならば今日はシドーにご馳走になろう！
To01_01_025|……では、まずはあれだ！
To01_01_026|いくぞシドー！
To01_01_027|……はふッ！？　はふはふ！　ほ、ほれふぁ――！？
To01_01_028|うぬぬ……外はふわふわサクサク！　中はアツアツのトロットロだ！
To01_01_029|はふッ！
To01_01_030|はふはふッ！
To01_01_031|はふはふはふ……ッ！
To01_01_032|……うむ！　実にうまかった！
To01_01_033|ぬ！？　シドー！　あれは何だ――っ！？
To01_01_034|けばぶ？　良い香りだな！　うむ、シドー……次はあれだ！
To01_01_035|ん、肉と野菜を一緒に挟んであるのか……？　はぐ……！　んぐんぐんぐ……！？
To01_01_036|こ、これは！？　焦げ目のついたジューシーな肉。シャキシャキとした野菜。　そしてこのソース……絶品だ！
To01_01_037|うむ！　これは病みつきになる味だぞ！　――ん？　シドー、あそこにあるのは何の店だ？
To01_01_038|むう、今度は『スシ』というのが回転してるのか！？
To01_01_039|よし！　いくぞシドー！
To01_01_040|うむ！　スシというのは実にさっぱりしていて、　何皿でもいけそうだったな！
To01_01_041|そうか？　じゃあ、次は……
To01_01_042|だ、大丈夫なのかシドー！？
To01_01_043|え、あ……し、シドーは欲しくないのか？
To01_01_044|…………むぅ
To01_01_045|う、うむ！　頼んだぞシドー！
To01_01_046|し、シドー……。もういいぞ。そんなに無理をしなくても……
To01_01_047|シドー……？
To01_01_048|うむぅ……
To01_01_049|シドー……
To01_01_050|おお……おお！　やったなシドー！
To01_01_051|ぬ！　な、なぜだシドー！？　あんなに苦労したというのに……わ、私に！？
To01_01_052|そうか……シドー、礼を言うぞ！　ふふ……よしよし
To01_01_053|なぁシドー、小腹がすいた。きなこパンを食べにいかないか？
To01_01_054|む……そ、そうだな！　じ、実は私もそこまで食べたいわけではなかったのだ！
To01_01_055|ち、違う……大丈夫だ。　シドーは私より自分の身を案じてくれ
To01_01_056|うむ、気に入ったのだ！　シドーが骨身を削って手に入れたものだしな！　絶対大事にするぞ！
To01_01_057|うむ！
To01_01_058|む！　なんだと！
To01_01_059|おのれ……買い占めている輩がいるようだな……。　さすがはきなこパン。人心を誑かす魔性の味よ……
To01_01_060|む、そうなのか……残念だ
To01_01_061|これがほいっぷくりーむぱん、か……
To01_01_062|むう、確かに凄く食欲をそそる匂いがするぞ！　では早速……
To01_01_063|はむ……ん！？
To01_01_064|絶妙な甘さだ！　一つしか食べられないのが悔やまれる……！
To01_01_065|ん、どうした？　シドーは食べないのか？
To01_01_066|ん？　この辺か？
To01_01_067|ん……！　す、すまぬ……！
To01_01_068|ん、どうしたシドー？
To01_01_069|？
To01_01_070|おお！　それは迂闊だったな！
To01_01_071|うむ！　シドーと一緒ならどこへでもいくぞ！
To01_01_072|お供え物は、『[天狗牛*てんぐうし]』の好きな物にするのか？
To01_01_073|『[天狗牛*てんぐうし]』とやらはお腹が空いているのだな……
To01_01_074|うむ、『[天狗牛*てんぐうし]』が喜びそうな物があるとよいな！
To01_01_075|――ぬ！　そうではない！　切らんでもよいのだ！　そのまま譲ってくれれば、それでよいのだ！
To01_01_076|シドー！　見つけたぞ！　『[天狗牛*てんぐうし]』のお供え物だ！
To01_01_077|アレだシドー！　あのグルグル回ってる肉を買っていくのだ！　これならぴったりだろう？
To01_01_078|ん、どうだシドー？　これならきっと、『[天狗牛*てんぐうし]』も気にいるに違いないぞ？
To01_01_079|？
To01_01_080|ん、どうしたのだ？
To01_01_081|おーい！　シドー！
To01_01_082|何をぼーっとしているのだ！　『[天狗牛*てんぐうし]』のお供え物を見つけたぞ！
To01_01_083|早く行くぞ！　こっちだ！
To01_01_084|アレだシドー！　アレを買っていこう！
To01_01_085|ん、どうだシドー？　これならきっと気にいるに違いないぞ！
To01_01_086|？
To01_01_087|うむ！　あの肉だったら、『[天狗牛*てんぐうし]』も満足するだろう！
To01_01_088|そ、そうなのか……？
To01_01_089|い、いや、シドーが謝ることはないのだ！　私が何も考えていなかった……こちらこそすまん
To01_01_090|おお！　それは妙案だ！　『[天狗牛*てんぐうし]』には少々物足りぬかもしれんが、　美味しいものを食べれば笑顔になれるだろう！
To01_01_091|よし、私のお供えものはそれで決まりだ！　早速戻るぞ、シドー！
To01_01_092|うむ！
To01_01_094|ど、どうしたのだシドーッ！？
To01_01_095|ん、そうだが？
To01_01_096|む？　よくわからないが、すまなかった
To01_01_097|シドー、一度病院に行った方がよいのではないか？
To01_01_098|心の臓が口から飛び出すようなことがあっては、一大事だぞ
To01_01_099|そうか、それならばよいのだが
To01_01_100|む、シドーと一緒にいては駄目なのか？
To01_01_101|シドーを一人にして、もしものことがあったらどうするのだ？
To01_01_102|し、シドーまで神隠しにあって……二度と会えなくなるのは、　その、なんだ……とても悲しいぞ！
To01_01_103|うむ！　それがよいと思うぞ！
To01_01_104|ん、わかった
To01_01_105|シドー？
To01_01_106|ぬ？　草の丈は思いのほか長いし、夜霧が少し出てきたぞ。　こう視界が悪くては、手でも繋いでいなければ　はぐれてしまいかねん
To01_01_107|ゆくぞ
To01_01_108|殿町ーっ！　どこにいるのだーっ！
To01_01_109|ん、戻ってみるか？
To01_01_110|うむ！
To01_01_111|ん……っ！
To01_01_112|だ、大丈夫だ。構わん
To01_01_113|こ、怖かったのだろう……？　ならば仕方あるまい
To01_01_114|その……シドーが、したいならば……あれだ……。　もう少しくらい……
To01_01_115|む！　い、いいからするのだ！
To01_01_116|……ど、どうだシドー？　安心したか？
To01_01_117|し、シドー……？
To01_01_118|……私も、凄く安心するぞ？
To01_01_119|ん、そうか……うむ、おそろいだな
To01_01_120|……
To01_01_121|！？
To01_01_122|う、うむ！　何もしてないぞ！
To01_01_123|ん、そ、そうだな！　い、行くぞシドー！
K01_02_001|さっき、凜祢の悲鳴が聞こえたような気がしたのだが……
K01_02_002|ぬ……琴里、これは当たったら危ないのではないか？
K01_02_003|おおっ！？　さっきからいい匂いがすると思えば……これは！？
K01_02_004|俵型とは珍しいな！　おぉ！？　ジューシーな肉汁がどんどん出てきてたまらなくうまそうだぞ！
K01_02_005|ん？　そうだと思うぞ。　凜祢はすぐに私と仲良くしてくれたので、とても助かった！
K01_02_006|ん、シドー、どうかしたのか？
K01_02_007|ん、私は良くわからなかったが……
K01_02_008|――ぬ、ぬうっ！？　シドー、このハンバーグはやはりただ者ではないな！
K01_02_009|旨味があとからあとから溢れてきて、うますぎるぞ！　だろう、四糸乃！？
K01_02_010|うむ。やはり凜祢の料理は最高だな！　シドーも早く食べるのだ！　冷めるともったいないぞ！
K01_02_011|ん！　そうだろう！？
K01_02_012|――！？
K01_02_013|し、シドーはやはり……うまい料理を作れる[女子*おなご]が　いいのか……？
K01_02_014|な、なんでもない！　なんでもないぞ！
RK01_00_018|ん！　そうだろう！？
RK01_00_019|うむ、そうだが……シドーは大丈夫なのか？
RK01_00_020|ん、そうか……仕方がないな
RK01_00_021|うむ、凜祢、ファイトなのだ！
K01_02_015|……
K01_02_016|む。いや、なんでもないのだ。少し考え事をしていた
K01_02_017|ん、そうだな。では、早く学校に行くのだ！
K01_02_018|あー！　ケホンケホン！　うー！　ケホンケホン！　ケホンといったらケホンなのだ！
K01_02_019|う、うむ！　さきほどの殿町から結核の菌を　もらったのかもしれん。できれば、私も見学にしてくれ
K01_02_020|むう！　私もシドーと一緒に見学したいのだ！
K01_02_021|ん？　お、おお！　そうであったな！
K01_02_022|け、ケホンケホン！　ケホンケホン！　こんな感じでどうだ？
K01_02_023|あ、いや、それは……ケホン……
K01_02_024|……う…………
K01_02_025|むう……それは、そうなのだが……
K01_02_026|殿町はよくて、なんで私がシドーと一緒にいてはいけないのだ！
K01_02_027|鳶一折紙！？
K01_02_028|ど、どういう意味だ！？
K01_02_029|な！？　それなら私もちゃんと『てにす』を頑張る！
K01_02_030|うるさいうるさいうるさい！　私は球技祭に出るぞ！
K01_02_031|ぐぬぬぬぬ……絶対に負けんぞ……
K01_02_032|ん！　ほ、本当か！？
K01_02_033|うむ、待っているぞ！
K01_02_034|うむ！　任せるのだ！
K01_02_035|うむ。だが、私は凜祢にも負けん！　全力で戦うぞ！　だから凜祢も頑張れ！
RK01_00_022|うむ！
K01_02_036|うむ！
K01_02_037|ところでシドー
K01_02_038|『てにす』とは、一体何をするのだ？
K01_02_039|んー！　遅いぞシドー！
K01_02_040|シドー、すまん。腹が減って先に食べていたぞ
K01_02_041|うむ、そうなのだ！　凜祢の弁当がいつにも増してうまい！
K01_02_042|む！　貴様何をしている！？
K01_02_043|むう！　抜け駆けで『あーん』とは、ずるいぞ鳶一折紙！
K01_02_044|な、なんだと！？　凜祢の弁当は、私の弁当でもあるからいいのだ！
K01_02_045|うるさいっ！　シドー、こっちの方がおいしいぞ！　いいから早く『あーん』するのだ！
K01_02_046|むぅ……！　は、早く食べるのだシドー！　あーん！
K01_02_047|む！　あーんあーん！
K01_02_048|うがー！　あーんあーんあーんあーん！
K01_02_049|ん……っ！？
K01_02_050|大丈夫かシドー！？　ぬ、鳶一折紙！　貴様のせいでシドーは！
K01_02_051|ん、そ、そうだな
K01_02_052|う、うむ
K01_02_053|シドー、私が負けたのがいけなかったのか？　く、もう少し練習しておけば……
K01_02_054|ん、そうか……
Ku01_02_001|おお！　これはいい匂いだな！
Ku01_02_002|うむ！　いただきますなのだ！
Ku01_02_003|ほくほくしてうまいな、シドー
Ku01_02_004|おふくろのあじ？
Ku01_02_005|ふむ……なるほどなぁ。　では、私も料理するときはおふくろの味を目指せば良いのだな！
Ku01_02_006|む！　シドー、私だって料理くらいできるぞ。　クッキィとかはたまにつくったりするし……
Ku01_02_007|すまん凜祢、頼む！
Ku01_02_008|うむ！　任せておくのだ！
Ku01_02_001|おお！　これはいい匂いだな！
Ku01_02_002|うむ！　いただきますなのだ！
Ku01_02_003|ほくほくしてうまいな、シドー
Ku01_02_004|おふくろのあじ？
Ku01_02_005|ふむ……なるほどなぁ。　では、私も料理するときはおふくろの味を目指せば良いのだな！
Ku01_02_006|む！　シドー、私だって料理くらいできるぞ。　クッキィとかはたまにつくったりするし……
Ku01_02_007|すまん凜祢、頼む！
Ku01_02_008|うむ！　任せておくのだ！
To01_02_001|フンッ！
To01_02_002|ハッ！
To01_02_003|ていっ！！
To01_02_004|ぬ……？　こういうときは上に大きく飛ばすのが正解ではなかったのか？　前になにかで見たのだが……
To01_02_005|ん、ここにいたのかシドー、探したぞ？
To01_02_006|おおっ！？　デェトか！！
To01_02_007|ん、いけなかったか？
To01_02_008|おお！　それで、今日はどこに行くのだ？
To01_02_009|ん、なかなかいい眺めだなシドー！
To01_02_010|シドーが行くなら、どこへでも行くぞ？
To01_02_011|ん、どうしたのだ？　行かぬのか？
To01_02_012|む！　私に競争を挑むのか？　望むところだ！　手加減はせんぞ、シドー！
To01_02_013|ん、シドー……もう降参なのか？
To01_02_014|ぬ？　シドー、ここは先程と同じ場所ではないか？
To01_02_015|なるほど。では、とりあえずもう一周か？
To01_02_016|ん、わかったぞ！
To01_02_017|……し、シドー？
To01_02_018|シドー……
To01_02_019|シドー、もういいだろう。　駄目そうなら、引き返そう
To01_02_020|……………………
To01_02_021|……ん、そうか……シドーが行くというのなら、　私はシドーと一緒に行くぞ……
To01_02_022|うむ……
To01_02_023|シドー……もういいのではないか？
To01_02_024|……そうだな
To01_02_025|うむ……
To01_02_026|ん、なにがだ？　私は全然平気だぞ？
To01_02_027|どうしたシドー、今日は変だぞ？
To01_02_028|ん？
To01_02_029|そうだ！　シドーとデェトしてるところだぞ！
To01_02_030|ぬ、凜祢に言ってはダメだったのか？
To01_02_031|は……っ！？
To01_02_032|し、シドー！　みみみみ、見たのかっ！？
To01_02_033|ん？
To01_02_034|む、なんだそれは？
To01_02_035|……し、シドーも、そういう[女子*おなご]がいいのか？
To01_02_036|ん、そ、そうか……
To01_02_037|……？
To01_02_038|ぬ！？　シドー、どこへゆく！？
To01_02_039|シドォーーーッ！
To01_02_040|……
To01_02_041|ん……なんでもない。凜祢はだな……私とシドーのデェトの　邪魔をしたらいけないと言って帰ったぞ？
To01_02_042|……
To01_02_043|な、なんでもない！
To01_02_044|シドー！　私も頑張るのだ！
To01_02_045|ぬ？　おお、琴里がよくやっているピコピコだな！　シドーがしたいなら、一緒にやるぞ！
To01_02_046|うむ、望むところだ！
To01_02_047|ん、これだな
To01_02_048|む！　そんなことはないぞ。　琴里が休みの時に、一緒に遊んだからな
To01_02_049|ん、だからいつでもいい。かかってこいシドー
To01_02_050|うむ！　のぞむところだ！
To01_02_051|ほう？
To01_02_052|ん、私はこいつで勝負するのだ！
To01_02_053|うむ、なんだ？
To01_02_054|む！　シドーはこいつの設定を知らんのか？　こいつは魔法使いで、対戦相手に勝つと、　そいつを自分の好きな料理に変身させて食べてしまうんだぞ！
To01_02_055|さて！　今日は、デミグラスソースたっぷりのハンバーグに　変身させてやるぞ！　――いや、待て……おろしポン酢も捨てがたいな！
To01_02_056|うむ、わかっている。どこからでも、かかってくるがいい！
To01_02_057|どうしたシドー！　琴里はそんなものではなかったぞ！
To01_02_058|シドー！　何をぼーっとしておるのだ！　手加減なら不要だぞ！
