K14_02_001|すみません。先生に言っておいてって言われたの、　すっかり忘れてましたー
506_04_50_059_14|その上二人選ぼうなんて
507_04_24_015_14|あの野獣が３年の先輩に手をつけたって本当だったんだ
507_04_24_018_14|あの美九先輩が、あんな男に……。ショックだわー
602_12_02_078_14|それ、鳶一さんの体操着じゃ……
602_13_02_002_14|十香ちゃんも一緒に食べよう
602_13_02_105_14|不純異性交友だわ。不潔よ
602_13_02_109_14|めちゃひくわー
602_13_02_113_14|とてつもなく黒くて硬くて大きいらしいわ。　さすが野獣。歩く成人指定
607_12_24_012_14|アイドルの誘宵美九じゃない？
607_12_24_064_14|こんな公衆の面前で
607_12_24_083_14|こんな公衆の面前で、まったくまったく……
608_13_21_010_14|すでに親しげに話してるし、これは怪しいわ。　十香ちゃんに新たなライバル出現の予感？
608_21_21_056_14|見せつけようと思ってやってるのかしら？　やぁねぇ
608_28_21_006_14|今日はまた大勢引き連れてるわね。　五河ハーレム
608_28_21_009_14|おうおう、言ってくれるじゃん。五河くん！
701_01_59_002_14|見張ってた甲斐があったわ！
701_01_59_005_14|こっそり隣町の女に会いに行くんでしょう！
701_01_59_008_14|あなたが乗るのはこの列車ではない！
701_02_59_002_14|何してるの？　ここ、女物の店よ？
701_02_59_004_14|あ、なるほど！　それで！
701_02_59_007_14|何か見繕ってあげよう！
701_02_59_011_14|…………
701_02_59_014_14|彼女にプレゼントの一つも用意できないの！？
701_02_59_017_14|そうは問屋がおろさない！
701_03_59_002_14|そう？
701_03_59_005_14|どうやったら五河くんが十香ちゃん以外に　目移りしなくなるか
701_03_59_008_14|こうなったら多少、強引な手段でも
701_04_59_002_14|今日もきっと別の女の子のところに行ってるわ！
701_04_59_005_14|理由？
701_04_59_009_14|つ、つまり、十香ちゃんは自分の幸せを　すでに捨てているの！？　そんな……
701_04_59_012_14|そうね！　あの子が投げ捨てた幸せ、　私たちが拾ってあげなくちゃ！
901_00_00_029_14|それだけじゃないわ！　十香ちゃんとも夜の生活を送る気よ！
901_00_00_032_14|毎日毎日同じようにイチャコラしやがって！　この歩く不純異性交遊が！
901_02_02_023_14|これはどこかに監禁した幼女のことを思い出しているに　違いない！
910_13_01_002_14|ちょっと問い詰めたいことがあるんだけど！
910_13_01_005_14|とぼけるんじゃないよ！　十香ちゃんというものがありながら、　幼馴染の凜祢ちゃんともいちゃこらしくさってからに！
910_13_01_009_14|ホームステイ先、五河くんの家だなんて、絶対何かあるよ。　五河くんが何かやったに違いないよ！
910_13_01_012_14|あんなことやこんなこと、ましてやキスなんてしてないと？
910_13_01_015_14|目は真実を語るってね
910_13_01_018_14|確保だ確保ーッ！
910_13_02_002_14|その顔……何やら思い悩んでいるんじゃない？
910_13_02_005_14|いつかこういうことになるって、知ってた！　私たち知ってた！
910_13_02_008_14|だが、いつかは誰か一人を選ばなければならない……！
910_13_02_011_14|もちろん、そうに決まってるじゃん！
910_13_02_014_14|ありえる！　青春の中、結婚の約束――卒業式の日、　十香ちゃんは言うの！
