Ri04_06_001|あら、心配事はそれだけでして？
Ri04_06_049|いえいえ、わたくしは当然のことをしたまでですわ。　それに、今回はそういう約束でしてよ？
Ri04_06_050|うふふ……まったく、士道さんは馬鹿正直過ぎますわ
Ri04_06_051|あらあら、わたくしと士道さんのお話を邪魔するなんて、　相変わらず無粋な方ですわね
Ri04_06_052|ひひっ……ひひっ……きひひひひ！　まァったく、頭の良い子は嫌いですわァ！
Ri04_06_053|あの枝……わたくしたちの意識を刈り取るようですわ。　士道さん……これはまずい状況ですわよ！　わたくしたちから離れないでくださいまし！
Ri04_06_054|まったく、困ったお方ですわねぇ
Ri04_06_055|申し訳、ありません……力、及ばず……
K04_01_001|あら、探し物ですの？　士道さん
K04_01_002|うふふ……ごめんなさい、驚かせてしまいました？
K04_01_003|あら、わたくしを探していてくださったんですの？　士道さんに探していただけるなんて、光栄ですわ
K04_01_004|でも残念……今日は別の探し物があるんですの
K04_01_005|ふぅ……
K04_01_006|ふふっ……もしかして士道さんを探しにきたと思いまして？　まあ、わたくしとしてはそれでも構わないのですけれど
K04_01_007|うふふ……できればもう少し、　士道さんとお話していたいんですけれど……　そろそろお暇した方がよさそうですわね
K04_01_008|それでは士道さん、またお会いしましょう……
K04_01_009|あらら、情けないお姿ですわね、士道さん？
K04_01_010|お楽しみのところ申し訳ありませんけれど、この子はわたくしが　連れていきますわ
K04_01_011|ごめんなさい、今は士道さんに構ってる暇はありませんの。　それでは、いずれまた……
K04_01_012|残念ですが、今は士道さんに構ってる暇はありませんの。　本当はもっと士道さんとお話したいのですけれど……　ごめんなさい
Ku04_02_002|ごきげんよう、士道さん
Ku04_02_003|まあ、怖いお顔……
Ku04_02_004|まあまあ、そんなに身構えないでくださいまし
Ku04_02_005|うふふ、ご心配なさらないでくださいまし。　今は、士道さんをどうこうするつもりはありませんから……
Ku04_02_006|もちろんですわ。だって――
Ku04_02_007|空っぽの士道さんは、ちっとも美味しそうじゃありませんもの
Ku04_02_008|ですから、今の士道さんを食べるつもりは、　これっぽっちもありませんわ
Ku04_02_009|いえ……ちょっと、興味を惹かれることがありまして
Ku04_02_010|……ふふ、こっちの話ですので、　お気になさらないでくださいまし
Ku04_02_011|……それよりも士道さん。　……鳩、お好きなんですのね？
Ku04_02_012|ずいぶん、仲良さそうにされてましたから
Ku04_02_013|いいえ、本当にそう見えましてよ。　きっと、誰が見てもそういう反応をすると思いますわ
Ku04_02_014|うふふ……でもそれは、好かれているということですわよね？
Ku04_02_015|動物は、嘘をつきませんもの。　嫌いな人に近づくなんてことは、絶対ありませんし
Ku04_02_016|あら、それがいけませんの？
Ku04_02_017|好きなものを好き、嫌いなものを嫌いと言って、　食べたいものを食べて、欲しいものを求める……それは、　正しい生き方だと思いますけれど
Ku04_02_018|ですわよねぇ？　士道さんのそういうところ好きですわよ？
Ku04_02_019|あら、照れてますの？
Ku04_02_020|ええ、どうぞ
Ku04_02_021|それは……人間のことを言っているんですの？
Ku04_02_022|人間だって、とっくに超えてはいけない線を超えていますわよ？　自分たちの好きなように動物を殺しているではありませんの。　ただ生きるためではなく、快楽を求めて……
Ku04_02_023|あの子たちと人間にどれほどの違いがありまして？　人間が好きな綺麗事で言うなら、動物だって同じ生命ですわ
Ku04_02_024|人間というのは、本当におこがましい生き物ですわね。　いつだって、自分たちを他より上だと決めつけてかかる
Ku04_02_025|……うふふ。　こんなこと、士道さんに言っても仕方ないですわね。　でも……
Ku04_02_026|もしかして、だからこそわたくしたちのような存在が　生まれたのかもしれませんわね。　――人間の、天敵として
Ku04_02_027|あらあら、もうこんな時間ですの？　お話が楽しくて、ちょっと長居し過ぎてしまいましたわね。　わたくし、そろそろお暇させていただきますわ
Ku04_02_028|ええ。しばらくはおとなしくしていますわ。信じてくださいまし。　……というか、そんなことより、士道さんはご自分の状況を　よくお考えになった方がいいと思いますわよ
Ku04_02_029|あら、嬉しいですわ
Ku04_02_030|――本能に正直だから、ですの？
Ku04_02_031|そうですの……うふふ、でもそういうことなら、　わたくしがもっとも正直なのは『食欲』に対してですけれど
Ku04_02_032|冗談ですわ。　まったく、士道さんはもう少し落ち着いた方がよろしいですわよ？　まあ……そういう士道さんの方が、わたくしは好きですけれど
Ku04_02_033|あらあら、信じてくださいませんの？　悲しいですわね
Ku04_02_034|……ちょっとした捜し物ですわ。　あまり粘着質ですと、女性に嫌われますわよ、士道さん？
Ku04_02_035|ええ……それはお約束しますわ
Ku04_02_036|ふふ……士道さんは素直で助かりますわ
Ku04_02_037|……ふふふ、さあ、どういたしましょうかしら？
Ku04_02_038|それでは、わたくしはこれで失礼しますわ。　さようなら、士道さん……またお会いしましょうね
Ku04_02_039|…………
Ku04_02_040|あらあら、猫に好かれているんですのね？
Ku04_02_041|やっぱり、動物には伝わるのかもしれませんわね。　士道さんが、いい人だってこと
Ku04_02_042|動物は本能的に、相手の空気を感じ取るものですわ。　警戒しなくていい、と思われているんでしょうね
Ku04_02_043|打算でだけ相手を選んで近付いてくる者もいますから。　でも、士道さんはそうじゃないって思ったんでしょうね
Ku04_02_044|ええ。わたくしも同じですもの
Ku04_02_045|士道さんがわたくしを邪険にできないと感じているからこそ、　こうして姿を現している部分もありますし
Ku04_02_046|うふふ、かつて自分を殺しかけた相手と無防備に　お話しするだなんて、普通の人間にはそうできませんわよ？
Ku04_02_047|ねえ、士道さんはどうでして？　わたくしのこと……どう思っていますの？
Ku04_02_048|…………
Ku04_02_049|……あんなことがあったあとなのに、随分楽天的ですのね？
Ku04_02_050|……士道さんは、甘いですわね
Ku04_02_051|ええ、ほんっとうに甘々ですわ。　でも……そんな士道さんの甘さが心地良いのかもしれませんわね。　動物にも、人間にも……
Ku04_02_052|それでは、士道さん。またお会いしましょうね
Ku04_02_053|……士道さんは、まだわかっていないんですのね
Ku04_02_054|……そんなレッテルを押し付けられても、　わたくしはそれにお応えすることはできませんわ
Ku04_02_055|士道さんの正義と、わたくしの正義は違うもの。　それは、本質的に相容れないものなのですわ
Ku04_02_056|……とは言え、士道さんのがむしゃらな優しさは　興味深いとは思いますけれども
Ku04_02_057|それでは、さようなら士道さん。　あなたの優しさが、あなた自身の命を奪ってしまわないよう、　祈っておりますわ
Ku04_02_058|……あら、士道さん。こんばんは
Ku04_02_059|夜の方が都合がいいこともたくさんありますから
Ku04_02_060|……うふふ、内緒……ですわ
Ku04_02_061|あら、気になりませんの？　もしかしたらわたくし、人を食べているのかもしれませんわよ？
Ku04_02_062|……へえ？　どうして、そう思いますの？
Ku04_02_063|ふふ、そうでしたわね
Ku04_02_064|何をしていたかは、ご想像におまかせしますわ。　それでは……ごきげんよう、士道さん
Ku04_03_001|あら、士道さんではありませんの？
Ku04_03_002|お一人ですの？
Ku04_03_003|ふふ、別に深い意味はありませんわよ？　……お隣、よろしいですこと？
Ku04_03_004|では、失礼しますわね
Ku04_03_005|あら……わたくしのことは気にせずに、食べていただいて構いま　せんのよ？
Ku04_03_006|いえいえ
Ku04_03_007|……………………
Ku04_03_008|別にいいではありませんの。減るものでもありませんし
Ku04_03_009|……ああ、あの池でのことですか？
Ku04_03_010|ええ。あの子は、動物園から逃げた子なんですの
Ku04_03_011|それで間違いありませんわ。　あの動物園は今、少々おかしなことになっていますわね
Ku04_03_012|たいしたことではありませんわ。　それに、あの子は大丈夫ですわよ。　今はわたくしが保護していますし……
Ku04_03_013|それは……お断りしますわ
Ku04_03_014|あんな狭い檻の中に戻すのは、かわいそうですもの
Ku04_03_015|狭い世界で窮屈に、変わらない日々を過ごす……それは、　生きていても、死んでいるのと一緒……そうは思いませんこと？
Ku04_03_016|できるなら……どこか自由に生きられる場所を見つけて、　放してあげようと思っていますの
Ku04_03_017|うふふ……どうでしょうね？　それもまた、自然の摂理かもしれませんわよ？
Ku04_03_018|あら、あっという間でしたわね……
Ku04_03_019|さあ……どうしましょう？　授業に紛れるわけにもいきませんし、　適当に退散させていただきますわ
Ku04_03_020|はい、また……
Ku04_03_021|…………
Ku04_03_022|きゃっ！
Ku04_03_023|ひどいですわ……急に大声を出して……
Ku04_03_024|あら、なんのことですの？
Ku04_03_025|まぁ、そうですわよね
Ku04_03_026|うふふ……好奇心とでも申しましょうか
Ku04_03_027|ええ、一度やってみたかったんですの。　士道さんなら、見つかっても、許してくださるでしょう？
Ku04_03_028|……この手は？
Ku04_03_029|え？
Ku04_03_030|あらあら……本当ですわね。　うふふ、士道さんたらまじまじと見つめて……男の子ですわねぇ
Ku04_03_031|……あら？　残念そうなお顔をされますのね。もっと見たかった　ですかしら？
Ku04_03_032|うふふ、冗談ですわよ。――では、ごきげんよう
Ku04_03_033|……あら？
Ku04_03_034|奇遇ですわね、士道さん
Ku04_03_035|士道さんも、新天宮タワーを見物にいらしたんですの？
Ku04_03_036|ええ、まあ……ちょっと気になることがありまして……
Ku04_03_037|ふふふ、まさか
Ku04_03_038|ところで士道さん、ちょっとお聞きしたいことがあるんですの
Ku04_03_039|……新天宮タワーについて……どう思いまして？
Ku04_03_040|でも……何です？
Ku04_03_041|焦らなくても大丈夫ですわよ。　別に急かしたりはしませんから
Ku04_03_042|……
Ku04_03_043|……なるほど、そうですか……
Ku04_03_044|いえ……この街の一員として、喜ぶのが当然ですわね
Ku04_03_045|お付き合いいただいてありがとうございます。　わたくしはそろそろ……
Ku04_03_046|では、ごきげんよう……
Ku04_03_047|……まあ、それは不思議ですわね？　どんな感じなんですの……？
Ku04_03_048|…………なるほど、変わった考えですわね
Ku04_03_049|……それで良いと思いますわ
Ku04_03_050|士道さん……その違和感、　忘れないようにした方がいいですわよ？
Ku04_03_051|さぁ？　それはご自分で見つけてくださいまし
Ku04_03_052|それでは、わたくしは失礼いたします。　さようなら、士道さん……
Ku04_03_053|…………
Ku04_03_054|うふふ……やっと来てくれましたのね、士道さん
Ku04_03_055|……昼間お会いした時に、言い忘れてたことがありましたの
Ku04_03_056|ええ。あのとき、士道さんはわたくしを起こしてくださいました　わよね
Ku04_03_057|うふふ……ありがとうございました
Ku04_03_059|そういえばお礼を言うのを忘れていたと思いまして
Ku04_03_060|……それでは、わたくしはこれで失礼しますわね
Ku04_04_001|……あら、士道さん。おはようございます
Ku04_04_002|ええ、それが何か？
Ku04_04_003|……あら、心配してくださるんですの？
Ku04_04_004|あら、そうなんですの……？　少し残念ですわね
Ku04_04_005|てっきり士道さんがわたくしのことを慮ってくれたのかと思いま　したのに。悲しいですわ。泣いてしまいますわ
Ku04_04_006|うふふ……
Ku04_04_007|ええ。引き止めたりはしませんわ。　学生の本分は勉強にあり、ですから。　今日も頑張ってくださいまし
Ku04_04_008|…………ふふ
Ku04_04_009|ごきげんよう、士道さん。よく会いますわね
Ku04_04_010|あら、ご迷惑ですか？
Ku04_04_011|そう言っていただけると嬉しいですわ
Ku04_04_012|いえ、わたくしは今日はすでに食事を済ませましたから
Ku04_04_013|ええ……ほら、今朝士道さんと会った、あの直前に
Ku04_04_014|うふふ……
Ku04_04_015|そんなことより、早く食べなくていいんですの？　昼休み、終わってしまいますわよ？
Ku04_04_016|あら、時間のようですわね。　……それでは、わたくしはこれで
Ku04_04_017|それでは、また……
Ku04_04_019|……良かった、気づいてくれたんですのね
Ku04_04_020|え？　ええ……
Ku04_04_021|どうしましたの？
Ku04_04_022|もしかして、わたくしを心配してくださるんですの？
Ku04_04_023|士道さん……どうかされました？
Ku04_04_024|……あ、ええ
Ku04_04_025|今日はわたくしからお誘いしようと思いまして……
Ku04_04_026|……ええ。　士道さん、わたくしとデートいたしましょう？
Ku04_04_027|わたくしはどちらでも。　士道さんのエスコートにおまかせいたしますわ
Ku04_04_028|なにか、考え事ですの？
Ku04_04_029|まったく、仕方がないですわね……。　では、とりあえずそこのお店を見てみましょう？
Ku04_04_030|それでは、ちゃんとエスコートをお願いしますわね
Ku04_04_031|まぁ……！　士道さん、見てください！　犬や猫があんなに……！
Ku04_04_032|ええ、普段はあまり……この子、人懐っこいですわね。　ほら、こっちこっち……
Ku04_04_033|見てください、こんなに甘えて……
Ku04_04_034|士道さん、楽しいデートに水を差すものではありませんわよ？
Ku04_04_035|士道さん、いかがです？　この服、凄く可愛らしいと思いませんこと？
Ku04_04_036|では、こちらは？
Ku04_04_037|どちらかを選ぶとしたら、どちらですか？
Ku04_04_038|駄目ですわよ、そんなことを仰っては。　女の子はこういうとき、きちんと選んでもらいたいものですのよ。　適当に選んでいると思われますわよ？
Ku04_04_039|士道さんはそうやって言い訳しないところが、素敵ですわね
Ku04_04_040|からかっているわけではありませんわ。本心ですもの
Ku04_04_041|ええ、楽しくて、時間を忘れてしまいました
Ku04_04_042|構いませんわ
Ku04_04_043|士道さんにおまかせしますわ
Ku04_04_044|ええ、美味しいです。　士道さんにお任せして正解でしたわね
Ku04_04_045|あら、士道さん……
Ku04_04_046|指先に、クリームが付いていますわよ
Ku04_04_047|ちょっと、お借りしますわね
Ku04_04_048|……駄目、ですわよぉ。動い、て……はぁん
Ku04_04_049|……いいえ、もう少し……綺麗にしませんと……
Ku04_04_050|……ええ。ごちそうさまでした
Ku04_04_051|少し、味わい過ぎてしまいましたわ
Ku04_04_052|……あら、そうでして？　うふふ、少し昴ぶってしまいましたかしら
Ku04_04_053|それとも……照れてしまいましたわ、と申した方が士道さん好み　でしたかしら？
Ku04_04_054|さ、ではそろそろわたくしは失礼いたしますわ。　うふふ、とっても楽しかったですわ。　最後にいいものも食べさせてもらいましたし
Ku04_04_055|……なんですか？
Ku04_04_056|……士道さん
Ku04_04_057|……わたくし、そろそろ行かなくてはなりませんの。　……急用が出来てしまいましたので
Ku04_04_058|ええ……ちょっと急ぎますので、失礼します
Ku04_04_059|クレープ、美味しかったですわ。　もちろん、士道さんも……
Ku04_04_060|…………
Ku04_04_061|…………
Ku04_04_062|…………
Ku04_04_063|……ふふ。士道さん、そんなところで何をしておられますの？
Ku04_04_064|どうかいたしまして？
Ku04_04_065|……ずっと見ていたんですの？　気付いてたのなら、声をかけてくだされば良かったのに
Ku04_04_066|空と……街を見ておりましたの
Ku04_04_067|ええ……もうじき日が落ちる頃合いの空と街……。　この時間帯の色合いがとても素敵で……
Ku04_04_068|見つめていたら、吸い込まれそうになってしまって……
Ku04_04_069|士道さん……？
Ku04_04_070|え……？　ええ、何でしょう？
Ku04_04_071|寂しい……？　なぜです？
Ku04_04_072|……わたくしが、ですか……？
Ku04_04_073|もしかしたら……そうなのかもしれませんわね
Ku04_04_074|……さあ、どうなのでしょうね。　お話はそれだけでして？
Ku04_04_075|いえ、いいんですのよ。　それでは、わたくしはそろそろ……
Ku04_04_076|……気をつけて、ですか。士道さんはお優しいんですのね。　ありがとうございます。失礼しますわ
Ku04_04_077|……あら、士道さん？
Ku04_04_078|士道さんこそどうしましたの？
Ku04_04_079|あら、それではわたくしと同じで――
Ku04_04_080|――士道さんっ！？
Ku04_04_081|あら、これは……結界ですの？
Ku04_04_082|士道さんっ！！
Ku04_04_083|警告しているように見えますわね。ここに近づくな、と……
Ku04_04_084|このままだと危険ですわよ！
Ku04_04_085|動かないでくださいまし、士道さん
Ku04_04_086|ひひ、ひひひっ！　面白くなってきましたわねェ！
Ku04_04_087|あはっ……あははははは……！　随分と物騒なものが出てきたと思いましたのに……。　この程度ですの？
Ku04_04_088|お楽しみは……これからですわ！
Ku04_04_089|……さぁ、そろそろ終わりにいたしましょう？
Ku04_04_090|士道さん、お怪我はありませんこと？
Ku04_04_091|……さぁ、わたくしにもわかりかねます。　でも、わたくしの調べ物に関係あるかもしれませんわね
Ku04_04_092|それは秘密ですわ。　士道さんがわたくしのモノになってくれるというなら、　別ですけれど
Ku04_04_093|うふふ、それは残念ですわ。　――士道さんは、もう帰られますの？
Ku04_04_094|では、家の近くまでお送りします。　また何かが現れる可能性もありますから
Ku04_04_095|うふふ、こういうときくらい頼っていただいて構いませんのよ？　一人だと、本当に危険かもしれませんし
Ku04_04_096|ええ。夜の散歩とまいりましょう
Ku04_05_001|……わたくしでよろしければ、　今からでもお付き合いしますわよ？
Ku04_05_002|ごきげんよう、士道さん。　昨日の夜は刺激的でしたわね
Ku04_05_003|どういたしまして
Ku04_05_004|あら、ちゃんと人目につかないようにしていますわよ？
Ku04_05_005|本当は、もっと早く士道さんに会いに来たかったのですけれど。　……これでもわたくし、我慢していますのよ？
Ku04_05_006|……それで、デートはどうされるんですの？？
Ku04_05_007|うふふ、どうですかしら。それは士道さん次第ですわね
Ku04_05_008|……わたくしは、ここでも構いませんわよ？
Ku04_05_009|ええ。素敵じゃありませんこと？　士道さんとクラスメートだなんて
Ku04_05_010|細かいことは気にしないでくださいまし
Ku04_05_011|少しだけ、後悔しているんですの。　もっと士道さんとクラスメートとして、　いろんなことをしておけば良かったと
Ku04_05_012|……はい？
Ku04_05_013|それは……すごく、楽しそうですわね。うふふ
Ku04_05_014|では改めて自己紹介させていただきますわね？　時崎狂三です。よろしくお願いいたしますわ
Ku04_05_015|それでは、普通の同級生とは違ってしまいますから
Ku04_05_016|…………
Ku04_05_017|……あの、士道さん
Ku04_05_018|……クラスメートって、何をすればいいんですの？
Ku04_05_019|あら、士道さんもご存じないのですね
Ku04_05_020|そうですわね。　……では、こんなのはいかがでしょう？
Ku04_05_021|……士道さん？
Ku04_05_022|ここ、間違っていますわよ？
Ku04_05_023|うふふ……駄ァ目、ですわよ？
Ku04_05_024|……それと、もうひとつ、間違いがあります
Ku04_05_025|二人きりの時は……狂三、と呼んでいただかないと
Ku04_05_026|うふふふふ……
Ku04_05_027|違いますわ。あてているんですのよ
Ku04_05_028|ほら、まだ終わりじゃないですわよ？　先生、というのも取ってしまいましょう……さあさあ……
Ku04_05_029|よく、できました。ご褒美は……こっちがよろしいかしら？
Ku04_05_030|あら、せっかく盛り上がってきたところですのに……
Ku04_05_031|うふふ、そういえばそうですわね
Ku04_05_032|どこ……ですか？　それなら、士道さんが本屋で立ち読みしてた本ですわよ？
Ku04_05_033|そんなにショックでしたの？
Ku04_05_034|ふふ、仕方ありませんわね
Ku04_05_035|どうしまして？
Ku04_05_036|……え？
Ku04_05_037|……そういうものですか
Ku04_05_038|そうですか……もう少し一緒にいたかったのですけど
Ku04_05_039|いえ、構いませんわ。それよりも……
Ku04_05_040|今日は、ありがとうございました。　とても、楽しかったですわ。　少しの間ですけれど、士道さんとクラスメートに戻れて……
Ku04_05_041|……お友達って、良い物ですわね
Ku04_05_042|それでは……さようなら、士道さん……っ
Ku04_05_043|……士道さん
Ku04_05_044|……少し、考えごとをしていたんですの
Ku04_05_045|……士道さん？
Ku04_05_046|士道さんは……わたくしを、どう思っておりますの？
Ku04_05_047|……聞かせて、いただけませんか？
Ku04_05_048|…………
Ku04_05_049|……そう、ですの
Ku04_05_050|……そう、かもしれませんわね。　わたくしには、幸せなんて望めないのかもしれません
Ku04_05_051|……この数日間、楽しかったですわ……まるで、夢のようでした
Ku04_05_052|……さようなら、士道さん
Ku04_05_053|…………ええ
Ku04_05_054|……そう、ですの
Ku04_05_055|……残念です。　士道さんとなら、そんなことを考えずに一緒にいられる……。　そんな風に思ったわたくしが、間違っていましたのね
Ku04_05_056|今の士道さんは[伽藍洞*がらんどう]……。　そんなに美味しそうではありませんけど……。　仕方ありませんわよね
Ku04_05_057|あなたはわたくしの中で、大きくなりすぎました。　だから……これからはわたくしの中で生き続けてくださいな
Ku04_05_058|まだ、勘違いしていますのね
Ku04_05_059|わたくしは、ずっと前から戻れませんのよ
Ku04_05_060|……これでずっと一緒ですわよ、士道さん。　わたくしも、帰るべき場所に帰ることにしますわ
Ku04_05_061|ねぇ、士道さん……わたくしの中で、　わたくしの全てを知ってくださいましね
Ku04_05_062|きひ、ひひ、ひひひひひひひひひッ！
Ku04_05_063|…………
Ku04_05_064|それは……
Ku04_05_065|……わたくしから、教えられることはひとつだけです
Ku04_05_066|……街外れの神社。　わたくしに用事があるときは、そこに
Ku04_05_067|……それでは、わたくしは行きますわ
Ku04_05_068|ふふ、おかしな方ですわね。　わたくし、精霊ですのよ？
Ku04_05_069|昨日送ってもらった人の台詞ではありませんわね。　お気持ちだけ、頂いておきますわ
Ri04_05_001|うふふ……危なっかしくて見ていられませんわねぇ
Ri04_05_002|あら、わたくしはついでなんですの？
Ri04_05_003|うふふ、士道さんはわたくしに……。　たくさんのものを与えてくれましたわね
Ri04_05_004|あら、言ってくれますわね
Ku04_06_002|……早速、いらっしゃったんですのね
Ku04_06_003|残念ですわ……もし、来なかったなら、諦めもついたのに……
Ku04_06_004|あ、いえ……なんでもないですわ
Ku04_06_005|それより……今日もデートに誘っていただけるんですの？
Ku04_06_006|でしたら……今日は、この神社で過ごしませんこと？
Ku04_06_007|ええ……静かで、良い場所ですから
Ku04_06_008|……それに……ここなら、二人きりですから
Ku04_06_009|うふふ……なんでもありませんわ
Ku04_06_010|それは……秘密ですわ
Ku04_06_011|女の子は、秘密が多い方が素敵ですのよ
Ku04_06_012|士道さんもそう思われませんこと？
Ku04_06_013|ええ
Ku04_06_014|それ、褒めてるつもりなんですの？
Ku04_06_015|うれ、しい……？
Ku04_06_016|……そうですの
Ku04_06_017|うふふ……それも、秘密です
Ku04_06_018|ええ、わたくしもそう思いますわ
Ku04_06_019|それより、士道さんのお話を聞かせていただけませんこと？
Ku04_06_020|ええ、士道さんの家のこと、子供の頃のこと、学校のこと……
Ku04_06_021|いいえ、いいんですの。　士道さんのこと、もっと教えて欲しいですわ
Ku04_06_022|ありがとうございます
Ku04_06_023|ええ、楽しみですわ
Ku04_06_024|ええ、日が傾いて来ましたわね……
Ku04_06_025|……もう帰ってしまいますの？
Ku04_06_026|士道さんの作った料理、わたくしも興味ありますわ
Ku04_06_027|確実にトラブルが起こりますけど……いいんですの？
Ku04_06_028|残念ですわ……あ！　なら、ここでお弁当なんていかがですこと？
Ku04_06_029|……本当、ですの？
Ku04_06_030|……はい。明日も、待っていますわ
Ku04_06_031|あ、士道さん、足元……
Ku04_06_032|……いえ。転ばずに済んでなによりですわ
Ku04_06_033|…………
Ku04_06_034|……あ、す、すみません……
Ku04_06_035|し、失礼いたしました……
Ku04_06_036|……あ、あの！
Ku04_06_037|……やっぱりもう少しだけ、一緒にいてくれませんか？
Ku04_06_038|……わたくしのことを……士道さんに知って欲しくて
Ku04_06_039|このまま……離れるなんて、嫌なんです
Ku04_06_040|……お願い、ですから
Ku04_06_041|……では、わたくしの目的をお話いたしますわ
Ku04_06_042|……え？
Ku04_06_043|士道さんってば、意外に肉食ですのね？
Ku04_06_044|はい。それは……
Ku04_06_045|……っ！
Ku04_06_046|…………
Ku04_06_047|……ッ！？
Ku04_06_048|……こんな、ものが……！？
Ku04_06_049|……士道さんっ！
Ku04_06_050|……させ……ませんわッ！！
Ku04_06_051|逃げてください！　わたくしでは、長くは持ちません……！
Ku04_06_052|恐らく――消えるでしょう。『わたくし』に逆らったわたくしに　未来などありませんわ
Ku04_06_053|でも……士道さんを傷つけるわけにはまいりません！
Ku04_06_054|…………
Ku04_06_055|きゃっ……っく！
Ku04_06_056|……士道、さん……ごめんなさい。　わたくしの考えが至らなかったばかりに……
Ku04_06_057|ふふ……今も、守っておりますわね
Ku04_06_058|士道、さん……！
Ku04_06_059|そうはさせませんわ！
Ku04_06_060|かはっ！
Ku04_06_061|ああっ……！！
Ku04_06_062|…………
Ku04_06_063|……！？
Ku04_06_064|実は、猫たちにご飯をあげてましたのよ。　そういうのは、わたくしらしくないとは……思ったのですけど
Ku04_06_065|……これ、は……？
Ku04_06_066|……ええ、なんとか
Ku04_06_067|……お話ししますわ。　わたくしの知ってることを、全部……
Ku04_06_068|……士道さんたちも、気付かれていますでしょう？　この天宮市に異変が起きていること……
Ku04_06_069|そう……今、この街全体が、何者かが張った結界に囲まれている。　時空や因果をねじ曲げるような、とても強い結界です。　ご存知ですわよね？
Ku04_06_070|この結界の中では、全ての事象が操作されています。　そう、人の記憶さえも
Ku04_06_071|士道さんが現実だと信じている世界やこれまでの記憶、　それは既に歪められ、植えつけられたものかもしれません
Ku04_06_072|ええ。こんなことができるのは、強大な力を持った超越的存在。　そんな何者かが、この異変に関与しているのですわ
