Ri03_06_001|は……はいっ！　し、士道さんが無事で、よかった……です
Yo03_01_028|……え？
Yo03_01_029|……あ、あの……
Yo03_01_030|……！！？
Yo03_01_031|あ、あの………え、えっと……その……っ
Yo03_01_032|う、うんっ……！
Yo03_01_033|……うんっ
Yo03_01_034|か、かまします……っ！
Yo03_01_035|………あ、あのっ
Yo03_01_036|……！！！？！？
Yo03_01_037|……は、はい……
Yo03_01_038|……はい……すみません……
Yo03_01_039|…………
Yo03_01_040|……あ、えっと……
Yo03_01_041|……士道さん、が……もっと、美味しい……り、料理を……　作れる道具は、どれですかって……
Yo03_01_042|……み、みんな笑顔に……なれます、から……！
Yo03_01_043|……は、はいっ！
Yo03_01_044|……で、でも、ダメ、でした……買えません、でした……
Yo03_01_045|…………
Yo03_01_046|……え？
Yo03_01_047|…………
Yo03_01_048|あ……わ、私もそれがいい、です……
Yo03_01_049|……だいがくいも、ですか？
Yo03_01_050|……む、むすいなべ？　なん、ですか、それって？
Yo03_01_051|……！
Yo03_01_052|あ……ありがとう、ございますっ！
Yo03_01_053|う、うんっ……
Yo03_01_054|……重くない、ですか？
Yo03_01_055|わ、私も……手伝い、ますっ……！
Yo03_01_056|……じゃ、じゃあ、重くなったら、言ってくだ、さいっ！
Yo03_01_057|は、はいっ！
Yo03_01_058|……え？　そ、そうですか？
Yo03_01_059|は、はい……う、嬉しい、ですっ
Yo03_01_060|…………！
Yo03_01_061|……夜、ですか……？
Yo03_01_062|てんぐ、うし……？
Yo03_01_063|こ、怖いんです、か……？
Yo03_01_064|………い、行きますっ！
Yo03_01_065|は、はいっ！　こ、怖いです、けど……み、みんなと一緒なら、平気、です！
Yo03_01_066|はい……がんばります……！
Yo03_01_067|…………
Yo03_01_068|……あの……お、お手伝い、します……
Yo03_01_069|……はい
Yo03_01_070|…………っ！
Yo03_01_071|……はい
Yo03_01_072|…………
Yo03_01_073|……ご、ごめんな、さい……。お皿……割れちゃい、ました……
Yo03_01_074|……………………
Yo03_01_075|…………す、すみま、せん……私……
Yo03_01_076|でも……私……士道、さんのお役に立ちたいと思った、のに……。　情け、ない……です……
Yo03_01_077|…………え？
Yo03_01_078|……士道、さん……
Yo03_01_079|……ありがとう、ございます……
Yo03_01_080|……す、すみま、せんっ……！
Yo03_01_081|……私が、余計な、ことをしたせいで……お皿を……！
Yo03_01_082|……はい……本当に、すみま、せん……
Yo03_01_083|す、すみません……
Yo03_01_084|……わ、私も、士道さんと一緒が……
Yo03_01_085|し、士道、さんと一緒の方が……あ、安心できます、から……。　……だ、ダメですか？
Yo03_01_086|……はい……！
Yo03_01_087|…………
Yo03_01_088|……は、はいっ！
Yo03_01_089|す、すみ、すみません……！
Yo03_01_090|……っ！！
Yo03_01_091|……ご、ごめん、なさい……怖、くて……
Yo03_01_092|…………！！
Yo03_01_093|……え？　あ、あの……？
Yo03_01_094|……そ、そうなんですか？
Yo03_01_095|…………わかり、ました……
Yo03_01_096|…………
Yo03_01_097|…………！
Yo03_01_098|……し、士道さんの手、あったかい、です……
Yo03_01_099|……あ、安心、します
Yo03_01_100|…………
Yo03_01_101|…………！
Yo03_01_102|……あ
K03_02_001|し……士道……さんっ！？
K03_02_002|……し、士道さんは……きっと、違い、ます！
K03_02_003|は……はい！　ありがとうござい、ます
K03_02_004|食べ切れるか……心配、です
K03_02_005|い、いただき……ます……っ！
K03_02_006|ど、どこ……でしたっけ……っ？
K03_02_007|え……あ、はい……っ！　た、たぶん……そうです！
K03_02_008|は……はい！　とっても……おいしい、です
Ku03_02_001|い……っ、いただき……ます！
Ku03_02_001|い……っ、いただき……ます！
To03_02_001|い……っ、いただき……ますっ
Yo03_02_001|し……士道、さんっ！
Yo03_02_002|……み、皆さんの……応援ができれば、と思って……
Yo03_02_003|は、はい……す、すみっこで……見てただけ、ですけど……
Yo03_02_004|す、すみません……
Yo03_02_005|…………
Yo03_02_006|…………？
Yo03_02_007|…………！！
Yo03_02_008|よ、寄り道……ですか？
Yo03_02_009|い、いえ……楽しそう、です……
Yo03_02_010|はい……！
Yo03_02_011|え、えっと……
Yo03_02_012|あっ……は、はい。ありがとうございます……
Yo03_02_013|……よしのんはいつも、こうですから
Yo03_02_014|……………………
Yo03_02_015|……あ、あれ……食べてみたい、です
Yo03_02_016|あいす、きゃんでー……？
Yo03_02_017|はい……
Yo03_02_018|あ……え、えっと……その……
Yo03_02_019|あの……し、してみたい、です……
Yo03_02_020|……わ、私……ちゅ、注文、してみたい、です……っ！
Yo03_02_021|……もっと、しっかりしなくちゃって思って……。　士道さんに、迷惑をかけないように……
Yo03_02_022|……それじゃ……イヤ、です……
Yo03_02_023|は、はい……！
Yo03_02_024|……わ、わかりました
Yo03_02_025|えっ……で、でも……
Yo03_02_026|……は、はい
Yo03_02_027|……それじゃあ、行って、来ます……！
Yo03_02_028|はいっ……！
Yo03_02_029|すー、はー……すー、はー……
Yo03_02_030|……っ！　あ、あの……す、すみませんっ！
Yo03_02_031|……あ、あの……アイスキャンデーを……
Yo03_02_032|え、えっと……お、おすすめを……
Yo03_02_033|……えっと、それをひとつ……
Yo03_02_034|……うん！
Yo03_02_035|……え？　……えっ？
Yo03_02_036|……あ、あの……
Yo03_02_037|あ、あの……えっと……
Yo03_02_038|……え、えっと……あ、あの……
Yo03_02_039|……す、すみません……
Yo03_02_040|は、はい……
Yo03_02_041|はい……
Yo03_02_042|……そ、そうですね
Yo03_02_043|は、はい……！
Yo03_02_044|は、はひ……おいひいへふ……
Yo03_02_045|は、はひ……
Yo03_02_046|はひーっ……！
Yo03_02_047|……そ、そろそろ苦しくなってきました……
Yo03_02_048|は、はひーっ！！
Yo03_02_049|は、はい……大変、でした……
Yo03_02_050|……だ、大丈夫、ですか？
Yo03_02_051|……だ、大丈夫ですか？
Yo03_02_052|え、えっと……えっと…………あっ！
Yo03_02_053|…………え……えいっ！
Yo03_02_054|……し、士道さんの頭を……あ、あっためようかと思って
Yo03_02_055|……は、はいっ。お役に立てて……良かった、です
Yo03_02_056|……そ、そうですね……私も気をつけ、ます……
Yo03_02_057|はい……美味しかった、です！
Yo03_02_058|……はい
Yo03_02_059|新、天宮……タワー……？
Yo03_02_060|……行き、ます！
Yo03_02_061|……うん、大きいね
Yo03_02_062|はい……
Yo03_02_063|……はい！
Yo03_02_064|…………
Yo03_02_065|……っ！　あ……士道、さん……？
Yo03_02_066|そ、その……　そろそろ士道さんが、か、帰って来る、頃かなって……
Yo03_02_067|……い、いえ
Yo03_02_068|は、はい……
Yo03_02_069|……あ、私は、まだ……大丈夫、です……
Yo03_02_070|え……？　あ……美味しそうな匂いがします
Yo03_02_071|……おこのみ、やき？
Yo03_02_072|……私は、大丈夫です……
Yo03_02_073|……は、はい！
Yo03_02_074|は、はい……あふっ！　はふっ……はひっ……あふい、ふぇす！
Yo03_02_075|あ……はふ……だいじょぶ、です
Yo03_02_076|……はふぅ……
Yo03_02_077|は、はい……美味しかった、です
Yo03_02_078|……はいっ！
Yo03_02_079|あ、あの……その……
Yo03_02_080|……う、うん……！　あ、あの……忘れて、て……
Yo03_02_081|あ……いえ、そうじゃ、なくて……。　きょ、今日は……！　あ……ありがとう、ございましたっ！
Yo03_02_082|きょ、今日だけ……じゃ、ない……ですけど……
Yo03_02_083|え……そ、そう、ですか……？
Yo03_02_084|そ、そんな、事、ない……です
Yo03_02_085|み、みなさん、に……め、迷惑ばかり……かけて、しまって……
Yo03_02_086|も、もっと、しっかりしなくちゃ、って、お……思って、ますっ
Yo03_02_087|よ、よしのん……！？　す、すみません、士道さん……お邪魔、しました……！
Yo03_02_088|……はい……？
Yo03_02_089|……は、はいっ……！
Yo03_02_090|そ、それじゃあ……おやすみ、なさい……
Ku03_02_001|い……っ、いただき……ます！
Yo03_03_001|……士道、さん……？
Yo03_03_002|よ、よしのんが……
Yo03_03_003|よしのんが……いなく、なっちゃった、んです……！
Yo03_03_004|よし、のん……！
Yo03_03_005|……で、でも……
Yo03_03_006|…………はい
Yo03_03_007|…………
Yo03_03_008|……は、い
Yo03_03_009|…………
Yo03_03_010|…………
Yo03_03_011|……やっぱり、いないですか……？
Yo03_03_012|……もしも、このまま……よしのんがいなくなったら、私……
Yo03_03_013|……わかり、ま……せん
Yo03_03_014|……は、い……ずっと一緒、でした……
Yo03_03_015|検査を、するって……この……ベッド、に……寝かされて
Yo03_03_016|……はい……それから、少し眠く、なって……。　それで……目を覚まし、たら……
Yo03_03_017|……！
Yo03_03_018|よ、よしのんっ……！　よしのん、よしのんっ！！
Yo03_03_019|……ごめん、ね……よしのん……
Yo03_03_020|あ、ありがとう、ござい、ます……
Yo03_03_021|は、はい……
Yo03_03_022|……はい……ありがとう、ござい、ます……！
Yo03_03_023|あ……し、士道、さんっ！
Yo03_03_024|は、はいっ……私、です
Yo03_03_025|あ……ご、ごめん、なさい。　書き置きは、したんです、けど……
Yo03_03_026|…………？
Yo03_03_027|あ、あの……す、すみません。　外に出ちゃ……いけなかったですか……？
Yo03_03_028|す、すみません……
Yo03_03_029|……！！
Yo03_03_030|……私、士道さんの……お邪魔、でしたか……？
Yo03_03_031|…………ごめん、な、さい……っ！
Yo03_03_032|…………
Yo03_03_033|す、すみません……
Yo03_03_034|……あ、あの……ちょっと、おでかけしたく、て……
Yo03_03_035|…………！！
Yo03_03_036|あ、あの……が、学校を、ちゃんと見てみたかったん、です。　み、みなさんが……どんな事、してるのか気になって……
Yo03_03_037|勉強……です、か……？
Yo03_03_038|……なんだか、楽しそう、です……
Yo03_03_039|い、いいんですかっ…？
Yo03_03_040|は、はいっ、士道……先生！
Yo03_03_041|はい……せん、せい……！
Yo03_03_042|…………！！
Yo03_03_043|……は、はい。広くて、綺麗です……
Yo03_03_044|…………？
Yo03_03_045|…………
Yo03_03_046|……おん、がく……じゅんびしつ……？
Yo03_03_047|……これ、は……？
Yo03_03_048|…………
Yo03_03_049|…………！
Yo03_03_050|……ダ、メ……です……
Yo03_03_051|ここを……こう……
Yo03_03_052|……で、できません……私、やっぱり……ダメです
Yo03_03_053|……よしのんが、いいなら……お願い、します！
Yo03_03_054|…………！？
Yo03_03_055|……吹け……ました……！
Yo03_03_056|……は、はい……
Yo03_03_057|はい……学校って、た……楽しい、です、ねっ！
Yo03_03_058|…………！
Yo03_03_059|……は、はい……
Yo03_03_060|……士道、さん……
Yo03_03_061|……この世界のことを、ちゃんと勉強、しようと……思って……。　琴里さん、から……ビデオを借りたん、です……
Yo03_03_062|へえ、四糸乃はえらいなあ。向上心があるってのはいい事だぞ。　……で、どんな番組を見てるんだ？
Yo03_03_063|……そ、そうなん、ですか……？
Yo03_03_064|……はい。士道、さんに……おまかせ、します
Yo03_03_065|…………
Yo03_03_066|…………！
Yo03_03_067|…………！！
Yo03_03_068|……あ、あの……士道さん……
Yo03_03_069|そ、その……琴里さんも……こういう、ことを……その……
Yo03_03_070|そ、そうなんですか……
Yo03_03_071|……そう、ですか
Yo03_03_072|………………
Yo03_03_073|あっ……
Yo03_03_074|……士道、さん……
Yo03_03_075|……はい
Yo03_03_076|い、いえ……今日は、その……よしのんが……
Yo03_03_077|よしのん……何を話す、の？
Yo03_03_078|内緒……話？
Yo03_03_079|……うん。　し、士道さんと、仲良く……なりたい、です
Yo03_03_080|……内緒話……しましょう……
Yo03_03_081|……あ、あの……私の、秘密って……
Yo03_03_082|……い、いえ……話し、ます……！
Yo03_03_083|私の……秘密は……その……人見知り、で……知らない人が……　怖い、です……
Yo03_03_084|……それで、ですね……街中で……いますよね……？　あの……声、かけてくる人……
Yo03_03_085|……そ、それです……！　あの……声をかけられるのが、怖くて……ティッシュを見ると、　逃げ出したくなっちゃうんです……
Yo03_03_086|……わ、わかりません。だけど……何とか、それを……　克服しない、と……
Yo03_03_087|……はい！
Yo03_03_088|……ありがとう、よしのん
Yo03_03_089|……耳を……。　あう……よしのんがいるから……片手じゃふさげ、ない……
Yo03_03_090|…………！
Yo03_03_091|……な、なんのお話、してたの……？
Yo03_03_092|あ、そ、そっか……。　ご、ごめんなさい……
Yo03_03_093|……士道……さん？　どうか、しましたか……？
Yo03_03_094|わ、私も……聞きたい、ですっ……
Yo03_03_095|……ズルイ、です……
K03_04_001|お……っ！　おはよう、ございます、士道さん……っ！
K03_04_002|あ……あのっ！　て、手伝います……っ！
K03_04_003|…………！
K03_04_004|は、はい……っ！　が、頑張ります……っ！
K03_04_005|……
K03_04_006|は、はい……っ！
K03_04_007|あ……っ！
K03_04_008|ご……ごめんなさい……っ
K03_04_009|い……っ、今……ふ、拭きます……っ！
K03_04_010|は……っ、はい……っ！
K03_04_011|ふ、ふぇ、ふぇぇ……っ！
K03_04_012|ふぇ……？
K03_04_013|え……っ、あ……あのフタですか……？
K03_04_014|は……はい……っ
K03_04_015|っ……う、うん！
K03_04_016|は……っ、はい……っ！　こ、ここで……いいですかっ！？
K03_04_017|……っ！　よ、よく、煮えた……みたいです……っ！
K03_04_018|……よしのんが……いてくれたから……です……っ！
K03_04_019|ご……ごめんね、よしのん……！　士道、さん……あ、ありがとう……ございます……っ！
K03_04_020|は、はい……っ！　が、頑張りますっ！
K03_04_021|は、はい……っ！
Yo03_01_013|…………
To03_04_001|あ、あの、い……っ、いただき、ます……っ
To03_04_002|し、士道さん……まだ、具合……悪いんです、か……っ？
To03_04_003|し、士道さんが……だ、大丈夫なら……安心……です……
To03_04_004|よ……よしのん！　そ、そんなこと言ったら……。　し、士道さんが……こ、困っちゃうよ……っ
Yo03_04_001|……は、はい
Yo03_04_002|…………
Yo03_04_003|…………
Yo03_04_004|は、はいっ。い、今、行き…ますっ
Yo03_04_005_02|士道、さん……おかえり、なさい……です
Yo03_04_005|士道、さん……おかえり、なさい……です。　……あ、あの……
Yo03_04_006|…………
Yo03_04_007|……！　は、はいっ！
Yo03_04_008|そ、そんな……いいです、から
Yo03_04_009|で、でも……
Yo03_04_010|…………
Yo03_04_011|……ゆ、遊園地っ！？
Yo03_04_012|こ、この前……テレビで見ま、した。　す、すっごく、楽しい場所だ、って……
Yo03_04_013|え！？
Yo03_04_014|あう……うぅ…ど、どうしよう？　よしのん…
Yo03_04_015|え、えっと……
Yo03_04_016|……い、行き、ますっ！　連れてって……くだ、さいっ
Yo03_04_017|は、はいっ！
Yo03_04_018|……ふ、ふぁあ……
Yo03_04_019|そ、そう、ですね……
Yo03_04_020|よ、よしのん……ど、どうしよう……
Yo03_04_021|え、えぇっ？　そんな……よしのん……
Yo03_04_022|え……？
Yo03_04_023|……えっ？
Yo03_04_024|あ……
Yo03_04_025|あ……は、はいっ
Yo03_04_026|士道さんの手……あたたかい、です……安心します
Yo03_04_027|はいっ
Yo03_04_028|お化け、屋敷……それって……怖い、んじゃないですか……？
Yo03_04_029|……い、行き……ます。　士道さんと……一緒、なら……平気、です！
Yo03_04_030|…………！！
Yo03_04_031|……うっ！！
Yo03_04_032|……ひっ！！
Yo03_04_033|……！　はい……
Yo03_04_034|……あっ
Yo03_04_035|観覧……車……？
Yo03_04_036|……はい。士道、さんの行くところ、でしたら……どこでも……
Yo03_04_037|…………
Yo03_04_038|……そ、そうですね
Yo03_04_039|……はい
Yo03_04_040|……は、はい……
Yo03_04_041|し、士道、さん……！？　大丈夫、ですか……？
Yo03_04_042|…………空は、綺麗、でした……
Yo03_04_043|私……士道さんと一緒、なら……いつでも……楽しい、です
Yo03_04_044|……はい、別に……高いところ、行かなくても……
Yo03_04_045|は、はい……！
Yo03_04_046|う……くっ……
Yo03_04_047|へ、平気……です……
Yo03_04_048|…………！
Yo03_04_049|……そ、そんなこと……ありません。　よしのんも……がんばって、くれたから……
Yo03_04_050|はい……士道、さんと……遊園地に来られて、　とっても幸せ、です……！
Yo03_04_051|……はい！
Yo03_04_052|……あっ……わわ……あわわ……
Yo03_04_053|は、はい……えいっ！
Yo03_04_054|……えいっ！　……えいっ！
Yo03_04_055|……士道さん、初めてがいっぱいで……すごく楽しいです！
Yo03_04_056|……よしのん？
Yo03_04_057|……うん
Yo03_04_058|……いっぱい、乗り物に乗れ、ました！
Yo03_04_059|はい……
Yo03_04_060|……よしのん？
Yo03_04_061|…………
Yo03_04_062|え？　ど、どこに……行くんですか？
Yo03_04_063|わ、私も……ついて、行きますっ
Yo03_04_064|……どうして、ですか……？
Yo03_04_065|え？　………あっ
Yo03_04_066|と、トイレ……ですか……すみま、せん……
Yo03_04_067|は、はい……
Yo03_04_068|……え、えぇっと……
Yo03_04_069|う、うん……
Yo03_04_070|……大人には……憧れる、かも……
Yo03_04_071|……よしのん？
Yo03_04_072|……！？　そ、それは…その……えっと……
Yo03_04_073|……わ、分からない、よ…
Yo03_04_074|親、に……？
Yo03_04_075|…………
Yo03_04_076|……はい
Yo03_04_077|……士道、さん……？
Yo03_04_078|……空、を……見てたんです……
Yo03_04_079|はい……キレイ、だな、って……
Yo03_04_080|……はい
Yo03_04_081|……どうか……しました、か……？
Yo03_04_082|……本当、ですか……？
Yo03_04_083|……じゃ、邪魔なんて……そんなことない、です……。　……一緒に見られたら……うれ、しいです……
NoneAudio|……？
Yo03_04_084|…………
Yo03_04_085|……え！？
Yo03_04_086|ううん……士道さんも同じ気持ちで……うれしい、です！
Yo03_04_087|……はい！
Yo03_04_088|……え……あ、あの……
Yo03_04_089|あ、あの……も、もう少し……もう少し、だけ……
Yo03_04_090|……もう少しだけ……見て、いいです、か？
Yo03_04_091|…………はい
Yo03_04_092|……は、はい……何、でしょう……？
Yo03_04_093|……私も……一緒に行って、いいんですか……？
Yo03_04_094|い、行きます！　士道さんと……一緒です、から……
Yo03_04_095|……はい！
Yo03_04_096|…………
Yo03_04_097|士道さん、危ないっ！
Yo03_04_098|…………！！
Yo03_04_099|士道、さんっ！！
Yo03_04_100|士道さん……！！　わ、私が！！
Yo03_04_100_2|〈[氷結傀儡*ザドキエル]〉……！！
Yo03_04_101|…………！
Yo03_04_102|これ以上は、やらせま……せん！！
Yo03_04_103|……はぁ……はぁ……
Yo03_04_104|……平気、です……。　士道さん……が、無事で、良かった……
Yo03_04_105|…………
Yo03_04_106|……凄く、強い力を……感じました……
Yo03_04_107|……いえ……大丈夫、です……
Yo03_04_108|……はい
Ko03_05_001|し、士道……さん、　お、おはよう、ございます……っ
Ko03_05_002|は、はいっ、いただき……ます……っ
Ri03_05_001|……し、士道さんはっ、わ、私が……守り、ますっ！
Ri03_05_002|……士道さんと一緒、に……がんばり、ました
Ri03_05_003|士道……さんっ！
To03_05_001|し、士道……さん！　お、おはよう、ございます……っ！
To03_05_002|は、はい……！　いただき……ます……っ！
Yo03_05_002|し、士道……さんっ、おはよう、ございます……っ
Yo03_05_003|は、はいっ、いただき……ます……っ
Yo03_05_004|…………
Yo03_05_005|……士道……さん……？
Yo03_05_006|…………
Yo03_05_001|…………あ
Yo03_05_007|……う、うぅ………よ、よしのん、がっ……
Yo03_05_008|……う、うごか……うごかっ……なく……な、っちゃいまし、　た……っ！
Yo03_05_009|私が……話し、かけても……答えて、くれないし……。　何も話して、くれ、ないんです……
Yo03_05_010|わ、分かりません……わ、たし……どうし、たらいいのか……　わから、なくて……
Yo03_05_011|は、はい……っ……でもっ……つながら、なくて……！　私、ひとり……っ……ぼっちは……こわ、くて……！
Yo03_05_012|…………っ……！
Yo03_05_013|だ、だって……よ、よしのん、がっ！
Yo03_05_014|よ、よしのんが……い、いなくなるなんて……嫌ッ！
Yo03_05_015|…………！？
Yo03_05_016|う、うぅ…………し、士道、さん……っ！？
Yo03_05_017|……！？
Yo03_05_018|………………
Yo03_05_019|は、はい……
Yo03_05_020|……やっぱり、私のせい……でしょう、か……
Yo03_05_021|で、でも……
Yo03_05_022|…………え？
Yo03_05_023|……理由、ですか？
Yo03_05_024|……はい、すみま、せん……
Yo03_05_025|はい……そう、します……。　士道さん……おやすみ、なさい……
Yo03_05_026|……よしのん……お喋り、しよう……？
Yo03_05_027|どうして、黙ったままなの……？　答えて……答えて、よっ……！
Yo03_05_028|……っ…………っ！！
Yo03_05_029|……士道、さん？
Yo03_05_030|……わかっては、いるんです。でも……でも……
Yo03_05_031|…………はい……
Yo03_05_032|…………！！
Yo03_05_033|なか……ま……？
Yo03_05_034|…………あ……あぁ…………
Yo03_05_035|……はい。　……士道さんのおかげ、で……少しだけ、勇気でまし、た
Yo03_05_036|…………！！
Yo03_05_037|……はい……！　ありが、とう……ございます
Yo03_05_038|…………！！
Yo03_05_039|なん、で……ッ！　なんで……なんで、そんな、こと……ッ！？
Yo03_05_040|……よしのんを、　いなかったことになんか……できま、せんっ！！
Yo03_05_041|……もう……いい…………
Ri03_06_001|は……はいっ！　し、士道さんが無事で、よかった……です
Ri03_06_002|し、士道……さん……っ！
Ri03_06_003|〈ルーラー〉さんを……よろしく、お願いします。　わ、私も……出来る限り手伝いますから……っ！
Ri03_06_004|お、覚えて……ます……っ！　し、士道さんと……い、一緒……だったこと……
Ri03_06_005|は、はい……っ！　や、やって……みますっ！
Ri03_06_006|し、士道……さん！　い、いってき……ます……っ！
Ri03_06_007|は、はい……っ！　あ、あのっ！
Ri03_06_008|か、必ず……っ！　成功……させ、ますっ！
Ri03_06_009|あ……！　よ、よしのんっ！？　あれ……っ！
Ri03_06_010|う、うん……っ、〈[氷結傀儡*ザドキエル]〉……っ！
Ri03_06_011|う……うん……っ！
Ri03_06_012|う……うぅ……っ！
Ri03_06_013|う……うん……っ！　わ、私……っ、頑張る……っ！
Ri03_06_014|う、うん……ッ！
Ri03_06_015|〈[氷結傀儡*ザドキエル]〉！　い……っ、いっけぇぇー……っ！！
Ri03_06_016|はぁ……はぁ……はぁ……はぁ……
Ri03_06_017|よ、よしのんの……お陰だよ……っ！　ありが……とう……っ！
Ri03_06_018|う……うん……っ！　し、士道さん……大丈夫、かな……？
Ri03_06_019|うん……！　そ、そうだよね……っ！
Ri03_06_020|だ、大丈夫……ですか……っ！　士道……さん……っ！
Ri03_06_021|はぁ……はぁ……
Ri03_06_022|……う、うん！　まだ、頑張れ……ッ！？
Ri03_06_023|……しど、う、さん…………
Yo03_06_001|…………
Yo03_06_002|おは……よう、ござい、ます……
Yo03_06_003|え……？
Yo03_06_004|……デー、ト……
Yo03_06_005|あ…………
Yo03_06_006|……いえ……行きたい、です……
Yo03_06_007|……連れてってくだ、さい……。　……ごめんな、さい……私、うまく、笑えなくって……
Yo03_06_008|は……はい！？
Yo03_06_009|……はい？
Yo03_06_010|……！
Yo03_06_011|……いや、じゃ……ない、です……
Yo03_06_012|…………
Yo03_06_013|……あ…………
Yo03_06_014|あ……どこでも、いいです……
Yo03_06_015|……はい
Yo03_06_016|…………
Yo03_06_017|……士道、さん？
Yo03_06_018|あ……！！
Yo03_06_019|……っ！
Yo03_06_020|……す、すいませんっ。　……で、でも、よしのんが……っ！　よし、のん、がっ！
Yo03_06_021|よしのん！
Yo03_06_022|……よしのんっ！　なんで、そんな……ところ！
Yo03_06_023|…………あ……
Yo03_06_024|よし、のん…………
Yo03_06_025|……え？
Yo03_06_026|……はい。よしのんは、私の……お友達、ですから
Yo03_06_027|……え？
Yo03_06_028|…………
Yo03_06_029|……なん、ですか？　その……方法、って……
Yo03_06_030|で、でも……やっぱりよしのんは……大事で、必要で……
Yo03_06_031|本当の……友達……？
Yo03_06_032|……私が……支え、る……
Yo03_06_033|……わかり、ました。まだ、悲しいです、けど……よしのんを　……ちゃんとお迎えできるように……が、頑張り、ますっ！
Yo03_06_034|……はいっ！
Yo03_06_035|あ……でも……何をしたら……いいん、ですか？
Yo03_06_036|……あ……いえ。　そ、それも……じ、自分、で……考えなくっちゃ、です、ね……
Yo03_06_037|自分で……考えて、みます。　よしのんのために、できる、こと……
Yo03_06_038|はい……ありがとうござい、ます……！
Yo03_07_001|士道、さんっ！
Yo03_07_002|か、考え、ましたっ！　……よし、のんの……よしのんの、ために……できることっ！
Yo03_07_003|はいっ！
